year,trades,win_rate,avg_r,total_usd
2010,147,0.3945578231292517,-0.10871780732599934,-381.3799999999999
2011,251,0.3346613545816733,-0.1087420425018316,-851.0399999999998
2012,252,0.3333333333333333,-0.16338770619957038,-593.0799999999998
2013,249,0.3333333333333333,-0.08753755842287533,-409.95999999999987
2014,248,0.34274193548387094,-0.10415201030751632,-342.91999999999996
2015,255,0.3176470588235294,-0.12411231124472549,-1496.7
2016,255,0.3764705882352941,0.005490400647965451,-150.6999999999999
2017,252,0.376984126984127,-0.05075507239378587,-638.0799999999999
2018,256,0.359375,0.09231151888149502,859.7599999999996
2019,249,0.3855421686746988,-0.005925023315319512,488.03999999999974
2020,252,0.373015873015873,-0.040414017763997556,-4657.580000000001
2021,254,0.49606299212598426,0.16143748504518732,4297.339999999999
2022,257,0.3968871595330739,0.14755612134006055,5145.22
2023,257,0.3540856031128405,0.01349450191355601,1461.2199999999998
2024,257,0.36964980544747084,0.14277220295860577,2670.72
2025,254,0.4409448818897638,0.10507786206457191,8731.34
2026,139,0.38848920863309355,-0.08233825452029166,-4187.06
