trades,sessions,win_rate,avg_r,expectancy_usd,total_usd,profit_factor,max_dd_usd,t_stat_r,leg,filter,split,config
514,516.0,0.4591439688715953,0.0010339168595105007,-34.43093385214008,-17697.5,0.9188681191477657,-48325.0,0.021998949197586676,ES,(none),full,OR15m/cut1100/exit1100/TE/both/follow
330,332.0,0.4727272727272727,0.042100782349460894,14.772727272727273,4875.0,1.038679731820526,-26102.5,0.7031540726913824,ES,(none),IS,OR15m/cut1100/exit1100/TE/both/follow
184,184.0,0.43478260869565216,-0.07261861363877009,-122.67663043478261,-22572.5,0.7549064849751622,-40755.0,-0.9625197971318042,ES,(none),OOS,OR15m/cut1100/exit1100/TE/both/follow
135,136.0,0.42962962962962964,-0.07059575935779473,-47.407407407407405,-6400.0,0.8348600180621856,-9175.0,-0.7639425339280623,ES,or_width_rel_narrow,full,OR15m/cut1100/exit1100/TE/both/follow
75,76.0,0.4266666666666667,-0.057126496076740994,-27.333333333333332,-2050.0,0.8900509519978547,-5635.0,-0.4617517580506885,ES,or_width_rel_narrow,IS,OR15m/cut1100/exit1100/TE/both/follow
60,60.0,0.43333333333333335,-0.08743233845911194,-72.5,-4350.0,0.783689706613625,-6840.0,-0.6239837924135866,ES,or_width_rel_narrow,OOS,OR15m/cut1100/exit1100/TE/both/follow
166,166.0,0.40963855421686746,0.009675440743910482,-7.168674698795181,-1190.0,0.9819478155339806,-13945.0,0.10897027097076184,ES,or_width_rel_typical,full,OR15m/cut1100/exit1100/TE/both/follow
98,98.0,0.40816326530612246,0.014934490824037756,5.408163265306122,530.0,1.0152869916354197,-10697.5,0.12665559584457692,ES,or_width_rel_typical,IS,OR15m/cut1100/exit1100/TE/both/follow
68,68.0,0.4117647058823529,0.0020962215107858573,-25.294117647058822,-1720.0,0.94496,-9622.5,0.015460362723670814,ES,or_width_rel_typical,OOS,OR15m/cut1100/exit1100/TE/both/follow
154,154.0,0.5,-0.011301307019606355,-94.87012987012987,-14610.0,0.8533390217582252,-33625.0,-0.14875004628141852,ES,or_width_rel_wide,full,OR15m/cut1100/exit1100/TE/both/follow
98,98.0,0.5204081632653061,0.06651047330307185,19.31122448979592,1892.5,1.032141644021739,-16775.0,0.6595332332071198,ES,or_width_rel_wide,IS,OR15m/cut1100/exit1100/TE/both/follow
56,56.0,0.4642857142857143,-0.14747192258429326,-294.6875,-16502.5,0.5949064130101258,-30225.0,-1.3329409088824955,ES,or_width_rel_wide,OOS,OR15m/cut1100/exit1100/TE/both/follow
160,161.0,0.425,-0.06139641345709117,-45.703125,-7312.5,0.8679577464788732,-13300.0,-0.7560662473352715,ES,or_volume_rel_quiet,full,OR15m/cut1100/exit1100/TE/both/follow
90,91.0,0.4444444444444444,-0.03637052363413796,-12.5,-1125.0,0.9624687239366139,-5990.0,-0.33058100083949704,ES,or_volume_rel_quiet,IS,OR15m/cut1100/exit1100/TE/both/follow
70,70.0,0.4,-0.09357255751517383,-88.39285714285714,-6187.5,0.7564455815784294,-11375.0,-0.7735624716928992,ES,or_volume_rel_quiet,OOS,OR15m/cut1100/exit1100/TE/both/follow
213,213.0,0.43661971830985913,-0.000424778565683237,-76.56103286384976,-16307.5,0.8434417376695068,-29777.5,-0.005493670083841956,ES,or_volume_rel_normal,full,OR15m/cut1100/exit1100/TE/both/follow
119,119.0,0.42857142857142855,0.030930927781865673,-49.87394957983193,-5935.0,0.8819375372985876,-13802.5,0.29031229641318906,ES,or_volume_rel_normal,IS,OR15m/cut1100/exit1100/TE/both/follow
94,94.0,0.44680851063829785,-0.040119768516303625,-110.34574468085107,-10372.5,0.8075335157953333,-29777.5,-0.35716042330450143,ES,or_volume_rel_normal,OOS,OR15m/cut1100/exit1100/TE/both/follow
82,82.0,0.5121951219512195,0.0030390043511290565,17.317073170731707,1420.0,1.031731843575419,-19265.0,0.02986104197842828,ES,or_volume_rel_busy,full,OR15m/cut1100/exit1100/TE/both/follow
62,62.0,0.5161290322580645,0.0530594516085737,119.87903225806451,7432.5,1.2326291079812206,-12215.0,0.4294692149530056,ES,or_volume_rel_busy,IS,OR15m/cut1100/exit1100/TE/both/follow
20,20.0,0.5,-0.1520243821469494,-300.625,-6012.5,0.5302734375,-8257.5,-0.9175929381215668,ES,or_volume_rel_busy,OOS,OR15m/cut1100/exit1100/TE/both/follow
163,164.0,0.44171779141104295,-0.043569401794161196,-107.4079754601227,-17507.5,0.7650473059115614,-30307.5,-0.558431324990835,ES,gap_up_gt_0.25pct,full,OR15m/cut1100/exit1100/TE/both/follow
103,104.0,0.46601941747572817,-0.043665331816377176,-65.60679611650485,-6757.5,0.8384822228861667,-14590.0,-0.4678840316784476,ES,gap_up_gt_0.25pct,IS,OR15m/cut1100/exit1100/TE/both/follow
