leg,or_minutes,time_exit,control,control_trades,control_total_usd,control_win_rate,orb_trades,orb_total_usd
ES,15,11:00,always_long,516,22735.0,0.5426356589147286,514,-17697.5
ES,15,11:00,always_short,516,-51115.0,0.43410852713178294,514,-17697.5
ES,15,15:59,always_long,516,16222.5,0.5271317829457365,514,-16810.0
ES,15,15:59,always_short,516,-44602.5,0.46124031007751937,514,-16810.0
ES,30,11:00,always_long,516,8797.5,0.5232558139534884,491,-4590.0
ES,30,11:00,always_short,516,-37177.5,0.437984496124031,491,-4590.0
ES,30,15:59,always_long,516,2285.0,0.5271317829457365,491,-11615.0
ES,30,15:59,always_short,516,-30665.0,0.4573643410852713,491,-11615.0
MNQ,15,11:00,always_long,4139,-8034.559999999992,0.5117178062333897,4084,-2850.3599999999947
MNQ,15,11:00,always_short,4139,-8852.55999999999,0.4460014496255134,4084,-2850.3599999999947
MNQ,15,15:59,always_long,4139,7003.440000000019,0.5349118144479342,4084,9945.140000000014
MNQ,15,15:59,always_short,4139,-23890.559999999983,0.43440444551824114,4084,9945.140000000014
MNQ,30,11:00,always_long,4139,-14712.559999999994,0.49891278086494323,3825,-2235.9999999999945
MNQ,30,11:00,always_short,4139,-2174.5599999999936,0.4503503261657405,3825,-2235.9999999999945
MNQ,30,15:59,always_long,4139,325.44000000001824,0.536844648465813,3825,15812.000000000018
MNQ,30,15:59,always_short,4139,-17212.559999999983,0.430055568978014,3825,15812.000000000018
