leg,config,slip_ticks,commission,trades,total_usd,expectancy_usd,avg_pts,profit_factor,win_rate
ES,OR15m/cut1100/exit1100/TE/both,0.0,no,514,-3562.5,-6.930933852140078,-0.13861867704280156,0.9830810329474622,0.4688715953307393
ES,OR15m/cut1100/exit1100/TE/both,0.0,yes,514,-4847.5,-9.430933852140077,-0.13861867704280156,0.9770527113067765,0.4688715953307393
ES,OR15m/cut1100/exit1100/TE/both,0.5,no,514,-9987.5,-19.43093385214008,-0.38861867704280156,0.9533239864470149,0.46108949416342415
ES,OR15m/cut1100/exit1100/TE/both,0.5,yes,514,-11272.5,-21.93093385214008,-0.38861867704280156,0.947488557886033,0.46108949416342415
ES,OR15m/cut1100/exit1100/TE/both,1.0,no,514,-16412.5,-31.93093385214008,-0.6386186770428015,0.9245185398102903,0.4591439688715953
ES,OR15m/cut1100/exit1100/TE/both,1.0,yes,514,-17697.5,-34.43093385214008,-0.6386186770428015,0.9188681191477657,0.4591439688715953
ES,OR15m/cut1100/exit1100/TE/both,2.0,no,514,-29262.5,-56.93093385214008,-1.1386186770428015,0.8695967023172906,0.45136186770428016
ES,OR15m/cut1100/exit1100/TE/both,2.0,yes,514,-30547.5,-59.43093385214008,-1.1386186770428015,0.8642966615579396,0.45136186770428016
ES,OR15m/cut1100/exit1559/TE/both,0.0,no,514,-2675.0,-5.2042801556420235,-0.10408560311284047,0.990634983151722,0.3735408560311284
ES,OR15m/cut1100/exit1559/TE/both,0.0,yes,514,-3960.0,-7.7042801556420235,-0.10408560311284047,0.9861752358675825,0.3735408560311284
ES,OR15m/cut1100/exit1559/TE/both,0.5,no,514,-9100.0,-17.704280155642024,-0.3540856031128405,0.9685841280800932,0.3735408560311284
ES,OR15m/cut1100/exit1559/TE/both,0.5,yes,514,-10385.0,-20.204280155642024,-0.3540856031128405,0.9642472910050178,0.3735408560311284
ES,OR15m/cut1100/exit1559/TE/both,1.0,no,514,-15525.0,-30.204280155642024,-0.6040856031128404,0.9471376888699723,0.3715953307392996
ES,OR15m/cut1100/exit1559/TE/both,1.0,yes,514,-16810.0,-32.704280155642024,-0.6040856031128404,0.94291923462198,0.3715953307392996
ES,OR15m/cut1100/exit1559/TE/both,2.0,no,514,-28375.0,-55.204280155642024,-1.1040856031128405,0.9059768877107236,0.36186770428015563
ES,OR15m/cut1100/exit1559/TE/both,2.0,yes,514,-29660.0,-57.704280155642024,-1.1040856031128405,0.9019852449129648,0.36186770428015563
ES,OR30m/cut1100/exit1100/TE/both,0.0,no,491,8912.5,18.15173116089613,0.3630346232179226,1.0548419352357512,0.515274949083503
ES,OR30m/cut1100/exit1100/TE/both,0.0,yes,491,7685.0,15.65173116089613,0.3630346232179226,1.0471161657189276,0.515274949083503
ES,OR30m/cut1100/exit1100/TE/both,0.5,no,491,2775.0,5.65173116089613,0.11303462321792261,1.0167686381146612,0.5071283095723014
ES,OR30m/cut1100/exit1100/TE/both,0.5,yes,491,1547.5,3.1517311608961305,0.11303462321792261,1.009317097400545,0.5071283095723014
ES,OR30m/cut1100/exit1100/TE/both,1.0,no,491,-3362.5,-6.84826883910387,-0.1369653767820774,0.9800459906535124,0.5030549898167006
ES,OR30m/cut1100/exit1100/TE/both,1.0,yes,491,-4590.0,-9.34826883910387,-0.1369653767820774,0.9728599092373871,0.5030549898167006
ES,OR30m/cut1100/exit1100/TE/both,2.0,no,491,-15637.5,-31.84826883910387,-0.6369653767820774,0.9104573759931286,0.4908350305498982
ES,OR30m/cut1100/exit1100/TE/both,2.0,yes,491,-16865.0,-34.348268839103866,-0.6369653767820774,0.9037729120604807,0.4908350305498982
ES,OR30m/cut1100/exit1559/TE/both,0.0,no,491,1887.5,3.844195519348269,0.07688391038696538,1.0064129788499108,0.4378818737270876
ES,OR30m/cut1100/exit1559/TE/both,0.0,yes,491,660.0,1.3441955193482689,0.07688391038696538,1.0022371743809637,0.4378818737270876
ES,OR30m/cut1100/exit1559/TE/both,0.5,no,491,-4250.0,-8.655804480651732,-0.17311608961303462,0.9857274788011082,0.43584521384928715
ES,OR30m/cut1100/exit1559/TE/both,0.5,yes,491,-5477.5,-11.155804480651732,-0.17311608961303462,0.9816479181150376,0.43584521384928715
ES,OR30m/cut1100/exit1559/TE/both,1.0,no,491,-10387.5,-21.15580448065173,-0.4231160896130346,0.9655172413793104,0.4317718940936864
ES,OR30m/cut1100/exit1559/TE/both,1.0,yes,491,-11615.0,-23.65580448065173,-0.4231160896130346,0.9615314554457085,0.4317718940936864
