# LEADERSHIP TRADE BAR DATA
# trade_id     : 10340
# symbol       : MGY
# entry_date   : 2026-03-05
# exit_date    : 2026-04-01
# entry_price  : 28.76
# exit_price   : 30.27
# profit_pct   : 0.0525035
# realized_pnl : 45.3
# shares       : 30
# exit_reason  : Stop Loss (Original Stop)
# bar_window   : 30d before entry → 30d after exit
# total_bars   : 62
#
date,open,high,low,close,volume
2026-02-03,24.75,25.705,24.67,25.63,3032748.0
2026-02-04,25.82,26.535,25.82,26.39,4157489.0
2026-02-05,26.15,26.34,25.65,26.21,3731159.0
2026-02-06,27.47,27.47,26.21,26.99,3690839.0
2026-02-09,27.08,27.395,26.88,27.27,3355937.0
2026-02-10,27.22,27.22,26.42,26.65,2915139.0
2026-02-11,26.0,27.05,25.98,26.96,6607150.0
2026-02-12,26.81,26.865,25.53,25.98,4136606.0
2026-02-13,26.0,26.97,25.785,26.78,2986457.0
2026-02-17,26.83,27.07,25.68,26.01,4194905.0
2026-02-18,26.42,26.53,26.015,26.4,3859453.0
2026-02-19,26.79,27.33,26.71,27.08,3779175.0
2026-02-20,26.97,27.235,26.82,27.11,3661781.0
2026-02-23,27.11,27.42,26.86,27.3,2569208.867206
2026-02-24,27.46,27.52,26.92,27.19,2245302.467237
2026-02-25,27.3,27.3,26.3,27.03,1982573.757643
2026-02-26,26.65,27.55,26.39,27.36,3162794.503716
2026-02-27,27.56,27.955,27.27,27.82,3057226.417708
2026-03-02,28.92,29.0974,28.03,28.55,3722523.949871
2026-03-03,28.765,29.06,27.92,28.42,3249029.41602
2026-03-04,27.79,28.7,27.25,28.6,2868197.64194
2026-03-05,29.0,29.37,28.83,29.19,2562084.854023
2026-03-06,29.46,29.69,29.005,29.22,2853972.680937
2026-03-09,29.51,29.74,28.69,29.06,5807542.610651
2026-03-10,28.77,29.09,28.47,28.75,3520148.725791
2026-03-11,28.85,29.5,28.61,29.07,4140314.833817
2026-03-12,29.05,29.38,28.65,28.94,4630436.057624
2026-03-13,28.83,29.51,28.73,29.5,2538684.442734
2026-03-16,29.41,29.78,29.0,29.39,2530948.462816
2026-03-17,29.72,30.18,29.61,29.96,3437106.045878
2026-03-18,30.08,30.44,30.02,30.16,2998195.699102
2026-03-19,30.35,30.785,30.24,30.6,2638922.967074
2026-03-20,30.57,31.21,30.45,30.76,6287657.982159
2026-03-23,30.06,31.19,29.91,30.92,2734032.406897
2026-03-24,31.17,31.66,31.15,31.29,2376659.181092
2026-03-25,30.86,31.475,30.76,31.44,2084416.166915
2026-03-26,31.68,32.36,31.5371,31.86,2224113.888817
2026-03-27,32.14,32.43,31.97,32.36,1979681.416965
2026-03-30,32.68,32.76,31.83,32.12,2100770.867979
2026-03-31,32.18,32.37,30.89,31.57,2636384.678523
2026-04-01,30.75,31.26,29.824,30.17,3177652.120048
2026-04-02,31.27,31.48,30.38,31.04,2179119.732337
2026-04-06,30.89,31.13,30.6,31.06,1900165.274614
2026-04-07,31.38,32.04,31.325,31.93,2234202.759839
2026-04-08,29.1,29.945,28.8001,29.86,2879372.608185
2026-04-09,29.96,30.44,29.37,29.66,2750006.481043
2026-04-10,29.58,29.92,29.3201,29.9,1946558.773228
2026-04-13,30.15,30.45,29.52,29.69,2212045.793803
2026-04-14,29.27,29.3298,28.355,28.6,2104955.97962
2026-04-15,28.46,28.685,28.04,28.19,2777457.365665
2026-04-16,28.3,28.705,28.2775,28.54,1962511.460675
2026-04-17,27.14,27.655,26.425,27.62,3505535.111545
2026-04-20,27.77,28.115,27.58,27.97,1733952.875963
2026-04-21,28.16,28.8,27.945,28.71,1587141.4848
2026-04-22,28.89,29.31,28.81,29.3,1397102.934007
2026-04-23,29.53,29.65,29.23,29.62,1632531.960118
2026-04-24,29.46,29.595,29.15,29.24,1797970.921922
2026-04-27,29.5,29.83,29.245,29.32,1618278.422163
2026-04-28,29.92,29.955,29.155,29.33,2054193.402713
2026-04-29,29.71,30.29,29.64,30.24,2052019.158696
2026-04-30,29.69,30.41,29.5,30.24,2244300.051553
2026-05-01,30.05,30.3,29.47,30.09,2108506.754511
