# LEADERSHIP TRADE BAR DATA
# trade_id     : 11203
# symbol       : ADM
# entry_date   : 2026-03-11
# exit_date    : 2026-03-18
# entry_price  : 69.45
# exit_price   : 72
# profit_pct   : 0.0367171
# realized_pnl : 38.25
# shares       : 15
# exit_reason  : Stop Loss (Original Stop)
# bar_window   : 30d before entry → 30d after exit
# total_bars   : 48
#
date,open,high,low,close,volume
2026-02-09,66.34,67.57,65.5,67.35,3275103.0
2026-02-10,67.59,68.68,67.26,68.62,3194778.0
2026-02-11,68.9,69.94,68.45,69.3,6429071.0
2026-02-12,69.27,70.09,68.59,69.5,3508285.0
2026-02-13,69.13,70.06,68.37,69.51,3063865.0
2026-02-17,68.77,69.15,66.55,68.57,3993613.0
2026-02-18,68.23,68.86,67.2,67.52,3578616.0
2026-02-19,67.69,68.98,67.22,68.86,2748914.0
2026-02-20,69.0,69.2,67.6,67.88,2697762.0
2026-02-23,67.86,69.39,67.43,67.69,2177158.54433
2026-02-24,67.65,68.72,66.88,68.02,2350669.153749
2026-02-25,68.07,68.57,65.8801,67.45,2677595.742632
2026-02-26,67.41,68.259,66.81,67.42,2730073.457656
2026-02-27,67.43,69.1,66.83,69.04,5021518.612122
2026-03-02,69.5,70.48,68.2732,69.61,3032906.714441
2026-03-03,68.44,68.6499,67.17,67.99,3012049.063313
2026-03-04,68.3,68.5,66.72,67.22,2453518.592306
2026-03-05,67.02,67.07,65.96,66.53,2874110.302699
2026-03-06,66.94,68.03,65.5,67.44,3399466.759745
2026-03-09,67.51,68.74,66.3101,67.92,3646375.641345
2026-03-10,68.49,69.85,67.09,69.39,5133627.102138
2026-03-11,68.93,71.4287,68.91,70.83,5840133.536095
2026-03-12,71.5,73.72,70.52,72.5,5544294.309573
2026-03-13,73.5,73.7,71.4028,71.98,4379207.492086
2026-03-16,71.9,72.15,70.36,70.75,4235699.935466
2026-03-17,71.37,73.13,70.99,72.12,3916127.867606
2026-03-18,72.0,72.19,70.86,70.87,3812492.601549
2026-03-19,70.42,70.62,68.1334,68.64,5365742.339118
2026-03-20,68.82,68.82,65.07,66.17,16669595.098286
2026-03-23,66.24,68.47,65.94,67.99,3417273.549027
2026-03-24,68.37,71.595,68.11,71.44,2921948.894609
2026-03-25,70.9,71.89,70.49,71.66,2906188.528651
2026-03-26,71.49,73.68,71.23,72.33,3464762.647781
2026-03-27,72.0,74.19,71.71,72.23,6175599.416323
2026-03-30,73.17,74.09,71.57,71.75,4062415.14285
2026-03-31,72.13,73.35,71.63,72.69,4043408.065093
2026-04-01,73.32,73.84,71.68,72.37,3825046.187762
2026-04-02,72.76,73.985,72.07,73.83,3406735.68562
2026-04-06,73.51,73.83,72.61,73.38,1772652.542291
2026-04-07,73.38,73.69,71.62,72.15,2679527.040059
2026-04-08,68.82,71.76,67.67,71.72,3824892.305045
2026-04-09,71.63,72.655,69.85,70.35,3170794.537254
2026-04-10,70.53,71.14,69.49,69.73,2918456.135636
2026-04-13,70.54,70.99,69.1,69.82,2663552.686932
2026-04-14,69.65,69.9,68.58,68.84,2831924.412232
2026-04-15,68.35,68.64,66.86,66.95,3245147.698453
2026-04-16,67.17,68.72,66.71,68.68,3033009.350227
2026-04-17,66.95,67.25,66.06,67.04,4257235.505436
