# LEADERSHIP TRADE BAR DATA
# trade_id     : 11248
# symbol       : OXY
# entry_date   : 2026-03-12
# exit_date    : 2026-04-01
# entry_price  : 57.37
# exit_price   : 64.57
# profit_pct   : 0.125501
# realized_pnl : 144
# shares       : 20
# exit_reason  : Stop Loss (Original Stop)
# bar_window   : 30d before entry → 30d after exit
# total_bars   : 57
#
date,open,high,low,close,volume
2026-02-10,46.73,46.73,46.06,46.27,8482444.0
2026-02-11,47.0,47.69,46.83,47.24,11948482.0
2026-02-12,47.0,47.05,44.86,45.49,12430690.0
2026-02-13,45.3,46.525,45.27,46.07,8621486.0
2026-02-17,46.26,46.7599,45.06,45.94,8315527.0
2026-02-18,46.54,47.43,46.255,47.11,14138668.0
2026-02-19,49.755,52.215,49.62,51.53,35384019.0
2026-02-20,51.42,52.205,50.6,51.84,16536751.0
2026-02-23,52.25,53.33,52.01,52.43,13782715.681719
2026-02-24,52.335,52.49,51.07,51.95,9470811.92147
2026-02-25,52.05,52.14,50.6,50.94,8689311.807676
2026-02-26,50.3,51.975,49.81,51.43,11334400.330573
2026-02-27,52.68,53.235,51.87,53.08,13123222.6643
2026-03-02,56.34,56.34,53.32,54.21,32590381.84139
2026-03-03,55.02,55.29,53.07,53.68,24194515.565736
2026-03-04,52.375,53.85,52.37,53.61,15074307.501635
2026-03-05,54.0,54.6,53.16,53.24,17679540.691545
2026-03-06,54.2,55.17,53.295,54.19,30455692.180291
2026-03-09,54.43,56.09,54.08,55.02,33141003.299868
2026-03-10,53.25,54.0,52.05,53.12,24601510.983904
2026-03-11,53.5,55.6,53.39,55.58,21062518.933587
2026-03-12,56.8,59.15,56.42,58.41,39396641.668071
2026-03-13,57.7,58.33,57.06,57.88,16303327.277784
2026-03-16,57.335,57.985,56.71,57.25,15133131.45033
2026-03-17,57.5,58.26,57.292,57.73,13180389.551482
2026-03-18,58.24,58.82,57.945,58.38,16104993.631696
2026-03-19,58.925,60.73,58.86,59.58,24790653.356053
2026-03-20,59.68,61.37,59.63,60.71,25484465.416733
2026-03-23,58.5,60.745,58.1,60.31,23805468.163071
2026-03-24,60.78,62.109,60.6,61.25,14732618.149175
2026-03-25,60.3,62.26,60.24,61.85,14016785.500664
2026-03-26,62.35,64.44,62.14,64.36,20658935.011259
2026-03-27,64.5,66.0,64.23,65.32,20170903.824675
2026-03-30,65.615,67.05,65.615,66.24,23021621.743863
2026-03-31,65.97,67.45,62.77,65.0,34955870.270246
2026-04-01,64.08,65.57,61.17,62.23,28329535.694408
2026-04-02,64.6,66.02,62.36,62.97,22356776.601938
2026-04-06,62.885,63.34,62.18,62.96,11676400.534897
2026-04-07,63.51,64.28,62.46,62.94,13460369.897801
2026-04-08,57.17,59.98,56.25,59.77,25788975.791048
2026-04-09,60.1,60.73,58.2301,58.53,15496339.736255
2026-04-10,58.04,58.82,57.6299,57.97,10476664.683235
2026-04-13,58.62,59.24,57.4,58.06,14482168.214351
2026-04-14,56.92,57.0,55.1,55.38,16461838.122658
2026-04-15,55.45,56.4,55.12,55.83,12237976.08445
2026-04-16,56.18,57.055,55.61,56.87,10022424.415681
2026-04-17,53.66,54.025,51.96,53.79,24183756.419711
2026-04-20,54.12,54.96,53.87,54.48,11503549.773716
2026-04-21,54.5,56.48,54.32,56.33,15401200.125193
2026-04-22,56.61,57.11,56.2,57.05,9488316.924651
2026-04-23,57.51,58.015,56.85,57.83,9731243.190519
2026-04-24,57.6,57.75,56.515,57.12,7851208.529355
2026-04-27,57.355,58.015,56.95,57.27,7551744.06744
2026-04-28,58.1,59.0,57.9201,58.61,12734544.958355
2026-04-29,59.34,60.785,58.61,60.76,13821778.371955
2026-04-30,59.59,60.75,58.93,60.58,12990343.021621
2026-05-01,60.04,60.11,57.9,58.71,13859603.633293
