# LEADERSHIP TRADE BAR DATA
# trade_id     : 1131
# symbol       : ALB
# entry_date   : 2025-11-26
# exit_date    : 2025-12-12
# entry_price  : 127.08
# exit_price   : 132.04
# profit_pct   : 0.0390305
# realized_pnl : NULL
# shares       : 1
# exit_reason  : Stop Loss (Original Stop)
# bar_window   : 30d before entry → 30d after exit
# total_bars   : 52
#
date,open,high,low,close,volume
2025-10-27,103.77,105.4699,95.69,96.23,4094682.0
2025-10-28,97.0,97.1499,94.7683,96.68,2509917.0
2025-10-29,96.8,101.035,96.45,97.8,2278695.0
2025-10-30,99.0,100.62,96.58,97.89,2366873.0
2025-10-31,96.9,99.97,96.5,98.23,4022240.0
2025-11-03,97.54,99.4,95.08,96.53,2737459.0
2025-11-04,91.71,92.5,88.01,88.45,5264282.0
2025-11-05,90.39,92.87,89.1,91.96,3369752.0
2025-11-06,94.0,97.104,91.0,91.26,3772790.0
2025-11-07,90.17,98.4215,90.01,97.18,4482756.0
2025-11-10,101.42,104.6,100.0,103.58,3390207.0
2025-11-11,102.5,103.89,101.18,103.88,2655430.0
2025-11-12,105.41,110.63,104.94,110.32,4398951.0
2025-11-13,112.35,119.28,112.02,114.57,7195885.0
2025-11-14,108.9,117.345,107.63,115.14,4691571.0
2025-11-17,120.01,125.8495,117.66,117.7,7466634.0
2025-11-18,116.37,122.42,114.91,121.39,4524125.0
2025-11-19,123.39,127.07,122.655,125.68,3631732.0
2025-11-20,121.08,125.85,115.68,116.42,5683154.0
2025-11-21,113.07,119.32,110.5829,116.82,4858584.0
2025-11-24,114.48,116.76,113.505,115.88,2844252.0
2025-11-25,119.71,125.776,117.9245,125.26,3548524.0
2025-11-26,124.08,127.7,122.1294,126.91,3060151.0
2025-11-28,127.79,130.56,126.5,129.99,1285312.0
2025-12-01,128.47,132.9,128.11,128.33,4016975.0
2025-12-02,130.26,130.26,127.135,128.14,2037088.0
2025-12-03,124.5,127.05,123.43,126.49,4144959.0
2025-12-04,125.32,126.49,117.6054,119.14,4241891.0
2025-12-05,123.81,129.88,122.7,125.19,5265002.0
2025-12-08,128.28,128.39,124.7204,127.2,3602785.0
2025-12-09,126.94,131.9,126.55,129.29,2362908.0
2025-12-10,131.0,134.37,129.73,133.21,2764351.0
2025-12-11,133.18,135.13,132.01,134.59,2291642.0
2025-12-12,136.1,136.1,129.8901,132.74,2775351.0
2025-12-15,132.96,134.35,130.6801,132.22,2080571.0
2025-12-16,131.92,134.48,130.4,131.07,2349312.0
2025-12-17,135.2,138.69,134.43,134.71,3105293.0
2025-12-18,135.4,140.78,133.88,140.48,3387597.0
2025-12-19,142.51,149.82,142.0,145.88,6845036.0
2025-12-22,146.9,150.72,143.84,145.38,3573572.0
2025-12-23,147.98,149.88,146.21,146.7,1736665.0
2025-12-24,144.0,148.51,143.5199,148.51,1181702.0
2025-12-26,150.28,152.08,147.74,150.01,1442193.0
2025-12-29,144.72,146.4499,141.25,144.58,2821961.0
2025-12-30,145.06,145.4234,141.662,142.01,1660199.0
2025-12-31,141.27,142.75,140.7,141.44,1742079.0
2026-01-02,143.77,144.75,141.43,143.93,2992850.0
2026-01-05,146.28,148.67,145.06,146.13,3112853.0
2026-01-06,150.85,164.98,150.29,158.15,5627828.0
2026-01-07,160.0,164.7999,157.21,161.57,4198828.0
2026-01-08,159.3,162.59,155.34,158.31,3332823.0
2026-01-09,158.07,162.98,157.0,161.29,2824363.0
