# LEADERSHIP TRADE BAR DATA
# trade_id     : 11491
# symbol       : HOLX
# entry_date   : 2026-03-26
# exit_date    : 2026-04-02
# entry_price  : 75.64
# exit_price   : 75.65
# profit_pct   : 0.00013221
# realized_pnl : 0.15
# shares       : 15
# exit_reason  : Stop Loss (Original Stop)
# bar_window   : 30d before entry → 30d after exit
# total_bars   : 29
#
date,open,high,low,close,volume
2026-02-24,75.4,75.485,75.33,75.35,1640168.340216
2026-02-25,75.31,75.39,75.3,75.34,2026108.4995
2026-02-26,75.37,75.4,75.21,75.23,1659226.494303
2026-02-27,75.37,75.42,75.23,75.36,2430035.092853
2026-03-02,75.37,75.48,75.2,75.45,1842801.642358
2026-03-03,75.37,75.49,75.32,75.46,1909084.471252
2026-03-04,75.41,75.69,75.4,75.67,2582416.376028
2026-03-05,75.42,75.75,75.35,75.75,6445977.961618
2026-03-06,75.5,75.75,75.47,75.74,3117675.276973
2026-03-09,75.65,75.735646,75.54,75.59,2338386.52349
2026-03-10,75.53,75.575,75.385,75.54,3066471.574983
2026-03-11,75.52,75.52,75.36,75.41,1859191.978649
2026-03-12,75.4,75.49,75.175,75.21,2606466.684388
2026-03-13,75.35,75.35,75.05,75.12,4205647.990577
2026-03-16,75.16,75.22,75.0,75.15,9615390.288389
2026-03-17,75.235,75.235,75.05,75.05,5833992.669008
2026-03-18,75.05,75.2,75.03,75.15,3787634.99367
2026-03-19,75.15,75.445,75.14,75.33,1963372.690582
2026-03-20,75.38,75.55,75.37,75.41,4230845.418068
2026-03-23,75.45,75.64,75.33,75.64,2587242.167804
2026-03-24,75.51,75.63,75.435,75.55,2580375.466603
2026-03-25,75.55,75.65,75.49,75.52,2163316.364939
2026-03-26,75.63,75.75,75.56,75.69,3302600.921841
2026-03-27,75.69,75.71,75.57,75.67,2093051.108116
2026-03-30,75.78,75.78,75.48,75.55,2855392.054441
2026-03-31,75.65,75.67,75.51,75.59,2614726.589247
2026-04-01,75.56,75.715,75.54,75.6,2309512.755217
2026-04-02,75.65,75.66,75.55,75.65,3117771.020872
2026-04-06,76.01,76.07,76.0,76.01,102025619.473132
