# LEADERSHIP TRADE BAR DATA
# trade_id     : 11492
# symbol       : OLN
# entry_date   : 2026-03-25
# exit_date    : 2026-04-13
# entry_price  : 27.85
# exit_price   : 29.25
# profit_pct   : 0.0502693
# realized_pnl : 28
# shares       : 20
# exit_reason  : Take Profit
# bar_window   : 30d before entry → 30d after exit
# total_bars   : 57
#
date,open,high,low,close,volume
2026-02-23,24.03,24.54,23.34,23.5,1760876.765491
2026-02-24,23.76,24.7599,23.7,24.29,2198420.949939
2026-02-25,24.7,24.85,23.6763,24.01,3683679.982725
2026-02-26,24.01,24.47,23.445,23.91,2071773.066186
2026-02-27,23.52,25.39,23.52,25.37,3030116.898789
2026-03-02,25.0,25.53,24.6,25.41,3804974.351809
2026-03-03,24.375,24.72,22.97,24.35,2554391.581751
2026-03-04,24.7,25.0299,23.57,24.47,3145154.327202
2026-03-05,24.46,26.18,24.06,24.62,5014292.638606
2026-03-06,24.34,24.43,23.145,23.37,3564780.668522
2026-03-09,23.13,24.385,22.53,23.8,4175865.531386
2026-03-10,23.5,24.52,23.0,23.53,2617362.543464
2026-03-11,23.52,24.375,23.38,23.77,2977816.941145
2026-03-12,24.06,26.2599,24.06,26.01,4897109.623848
2026-03-13,26.16,26.41,24.5911,24.73,2857034.249168
2026-03-16,24.825,25.175,24.28,24.28,1965161.579242
2026-03-17,24.56,26.26,24.56,25.78,2822964.911321
2026-03-18,26.08,26.7433,25.75,26.31,2834882.345905
2026-03-19,25.87,26.25,24.9875,25.6,2529386.507623
2026-03-20,25.93,26.235,23.51,23.77,3911263.043061
2026-03-23,23.88,25.955,23.8,25.26,2766168.695994
2026-03-24,25.17,27.79,25.17,27.59,2592659.518193
2026-03-25,27.71,28.36,27.54,28.04,3253780.517913
2026-03-26,27.7,29.15,27.7,28.6,2906743.377799
2026-03-27,28.71,29.19,28.23,29.01,3577915.721915
2026-03-30,29.42,29.9499,28.4938,28.88,3228471.298991
2026-03-31,29.1,30.464,28.57,29.73,3559381.509331
2026-04-01,30.07,30.43,28.69,29.24,3070300.401204
2026-04-02,29.26,29.5234,28.3,28.57,2219373.27612
2026-04-06,29.22,30.02,28.95,29.23,3008437.91257
2026-04-07,28.92,30.1799,28.92,30.14,2409249.826171
2026-04-08,29.03,29.065,26.01,28.95,4279643.669149
2026-04-09,29.12,29.62,27.43,28.4,2781756.057578
2026-04-10,28.83,29.8,28.52,28.95,2481650.330597
2026-04-13,29.25,29.73,28.89,29.43,1785234.913871
2026-04-14,29.32,29.397,27.87,28.17,2406863.700067
2026-04-15,28.31,28.41,27.55,27.76,1720123.899918
2026-04-16,28.05,28.3,27.3,27.98,2070334.806613
2026-04-17,27.08,27.08,25.93,26.09,3310743.164109
2026-04-20,26.33,27.3373,26.03,26.88,3183868.780813
2026-04-21,27.21,27.63,26.36,27.17,2150800.979513
2026-04-22,27.69,27.8,26.19,26.9,2092926.227881
2026-04-23,26.89,27.4099,25.75,26.22,1781596.362546
2026-04-24,26.33,27.02,25.98,26.77,1624540.797471
2026-04-27,27.15,27.48,26.2938,26.83,1523345.970233
2026-04-28,27.08,27.55,26.5501,26.76,1343983.753002
2026-04-29,27.41,27.56,26.79,27.38,1283656.200609
2026-04-30,27.42,28.699,27.42,28.48,1716090.207107
2026-05-01,28.64,28.95,28.0,28.61,2035013.907465
2026-05-04,28.75,29.0,28.08,28.69,2094925.412004
2026-05-05,28.35,29.26,28.035,28.71,2530125.288927
2026-05-06,28.02,28.895,27.28,28.8,2854042.784408
2026-05-07,28.28,28.5,26.54,26.76,2512290.561527
2026-05-08,27.17,28.23,26.65,26.84,2869517.4247
2026-05-11,27.34,28.95,27.09,28.42,2223965.445157
2026-05-12,28.58,28.74,27.5,27.59,2870363.9203
2026-05-13,27.88,28.8993,27.5001,28.39,2156354.613375
