# LEADERSHIP TRADE BAR DATA
# trade_id     : 11516
# symbol       : RPRX
# entry_date   : 2026-03-26
# exit_date    : 2026-05-11
# entry_price  : 47.14
# exit_price   : 50.62
# profit_pct   : 0.0738227
# realized_pnl : 87
# shares       : 25
# exit_reason  : Exit Signal
# bar_window   : 30d before entry → 30d after exit
# total_bars   : 75
#
date,open,high,low,close,volume
2026-02-24,45.42,45.67,45.15,45.4,4536392.478164
2026-02-25,45.13,45.62,45.01,45.15,2822314.278237
2026-02-26,45.2,45.78,44.875,45.36,2573612.739905
2026-02-27,45.44,46.37,45.26,46.21,4176944.938249
2026-03-02,45.87,47.5,45.8,47.47,4414168.118489
2026-03-03,46.88,47.655,46.44,47.48,3719215.996203
2026-03-04,47.5,47.86,47.25,47.43,4344627.549165
2026-03-05,47.04,47.21,45.225,45.68,3384631.814642
2026-03-06,45.59,45.68,44.94,45.41,2701068.883168
2026-03-09,45.41,45.935,45.265,45.84,3899940.924696
2026-03-10,45.91,46.34,45.7,45.97,2395288.338169
2026-03-11,45.94,46.82,45.55,46.69,2709437.880756
2026-03-12,46.37,46.495,45.635,45.87,3834841.493832
2026-03-13,45.9,46.13,45.3106,45.65,2682196.723725
2026-03-16,45.83,46.435,45.77,46.1,2397173.672746
2026-03-17,46.2,46.39,46.0,46.11,4352562.521945
2026-03-18,46.13,46.14,45.465,45.79,3237823.197823
2026-03-19,45.78,45.965,45.21,45.53,2763989.21916
2026-03-20,45.77,46.1,44.73,45.36,8390796.97973
2026-03-23,45.935,46.06,45.04,45.61,3795330.222461
2026-03-24,45.24,45.895,45.15,45.57,2490495.226703
2026-03-25,45.8,47.08,45.79,47.03,3268146.994837
2026-03-26,46.95,47.54,46.815,46.94,3216546.679187
2026-03-27,46.995,47.33,46.06,46.35,2710159.06833
2026-03-30,46.47,46.74,46.1,46.37,2274974.207917
2026-03-31,46.81,47.98,46.68,47.97,3403139.202587
2026-04-01,47.99,48.75,47.98,48.49,3835316.41054
2026-04-02,48.25,49.06,48.21,48.57,2730419.559464
2026-04-06,47.98,48.39,47.275,47.32,2765977.109424
2026-04-07,47.0,47.12,46.535,46.87,2626620.164851
2026-04-08,47.22,48.085,46.99,47.9,2653603.782777
2026-04-09,47.76,48.6,47.435,48.3,2220743.150824
2026-04-10,48.3,48.36,47.73,47.9,2370085.755332
2026-04-13,47.87,48.72,47.81,48.43,2859449.114885
2026-04-14,48.4,49.01,48.35,48.82,3887235.608308
2026-04-15,48.89,48.98,48.075,48.7,1897618.969765
2026-04-16,48.5,48.97,48.23,48.48,2107812.70488
2026-04-17,48.6,50.0,48.35,50.0,3036226.511304
2026-04-20,49.55,50.075,49.25,49.3,2524274.420242
2026-04-21,49.59,49.8,48.88,49.48,4270958.998241
2026-04-22,49.48,49.97,49.22,49.72,2618117.130774
2026-04-23,49.91,49.93,49.16,49.64,2081212.786723
2026-04-24,49.64,49.91,49.2,49.38,1984547.463672
2026-04-27,49.3,50.06,49.3,49.65,4113367.859388
2026-04-28,50.12,50.25,49.33,49.54,4895720.09311
2026-04-29,49.31,50.14,49.21,49.49,3050540.860745
2026-04-30,49.83,50.47,49.57,50.09,4140151.245842
2026-05-01,49.92,49.96,49.23,49.47,2350379.782069
2026-05-04,49.47,50.35,49.11,50.2,2841795.098801
2026-05-05,50.2,50.82,50.06,50.44,4722958.294454
2026-05-06,51.29,51.65,49.74,50.72,3888115.820059
2026-05-07,50.64,50.94,49.2775,50.2,5602102.137586
2026-05-08,50.78,51.17,50.5,50.79,3764598.859148
2026-05-11,50.62,51.72,50.48,51.65,4047064.249841
2026-05-12,52.0,52.15,51.345,51.7,3457046.469926
2026-05-13,51.69,53.29,51.58,53.25,4171979.444679
2026-05-14,53.0,53.47,52.79,53.4,3513561.699524
2026-05-15,52.4,53.02,52.04,52.85,4264784.472902
2026-05-18,53.04,53.345,52.04,52.07,3411899.40029
2026-05-19,52.0,52.615,51.81,52.41,3808474.795612
2026-05-20,52.66,53.329,52.62,53.06,2868482.072347
2026-05-21,53.06,53.585,52.5,53.55,2842963.304352
2026-05-22,53.81,54.635,53.69,54.5,3053873.197756
2026-05-26,54.72,54.74,53.63,53.86,2758476.748935
2026-05-27,53.84,54.68,53.5,53.97,3075813.200239
2026-05-28,53.7,54.67,53.63,54.48,3128153.292677
2026-05-29,54.48,56.07,54.31,55.76,17987931.385262
2026-06-01,55.5,55.5,53.81,55.18,4352785.382722
2026-06-02,55.0,55.275,53.98,54.01,3568250.364751
2026-06-03,54.18,55.505,53.945,54.97,4469859.952338
2026-06-04,55.27,56.01,54.95,55.02,4588613.277433
2026-06-05,55.27,55.935,55.0,55.87,6027405.439589
2026-06-08,56.0,56.5,54.58,54.86,3714692.094985
2026-06-09,55.35,55.82,54.35,55.63,3747016.765178
2026-06-10,55.69,56.23,54.49,54.52,2228933.343526
