# LEADERSHIP TRADE BAR DATA
# trade_id     : 1177
# symbol       : BANC
# entry_date   : 2025-12-01
# exit_date    : 2025-12-12
# entry_price  : 18.78
# exit_price   : 19.74
# profit_pct   : 0.0511182
# realized_pnl : NULL
# shares       : 41
# exit_reason  : Stop Loss (Original Stop)
# bar_window   : 30d before entry → 30d after exit
# total_bars   : 47
#
date,open,high,low,close,volume
2025-11-03,16.91,16.97,16.53,16.93,3192794.0
2025-11-04,16.64,16.82,16.54,16.76,2126563.0
2025-11-05,16.74,17.24,16.74,17.06,1590755.0
2025-11-06,17.12,17.235,16.82,17.1,1895703.0
2025-11-07,16.99,17.245,16.86,17.09,1666209.0
2025-11-10,17.13,17.4475,17.09,17.34,1739828.0
2025-11-11,17.42,17.635,17.3,17.51,2161680.0
2025-11-12,17.64,17.76,17.3,17.31,2669739.0
2025-11-13,17.25,17.435,16.825,17.01,2260866.0
2025-11-14,16.93,17.095,16.71,17.06,1318648.0
2025-11-17,17.0,17.13,16.17,16.2,1875864.0
2025-11-18,16.14,16.785,16.12,16.51,3309035.0
2025-11-19,16.59,16.94,16.45,16.9,2055574.0
2025-11-20,17.17,17.39,16.905,17.0,2526212.0
2025-11-21,17.04,17.83,17.0353,17.75,3152351.0
2025-11-24,17.7,17.94,17.59,17.81,2498675.0
2025-11-25,17.94,18.705,17.94,18.6,3577569.0
2025-11-26,18.45,18.695,18.4,18.43,2408887.0
2025-11-28,18.41,18.5,18.365,18.44,723029.0
2025-12-01,18.43,18.87,18.4,18.87,2314572.0
2025-12-02,18.96,19.035,18.68,18.71,2488709.0
2025-12-03,18.75,19.08,18.74,18.9,2022264.0
2025-12-04,18.81,19.095,18.8,18.92,1018244.0
2025-12-05,18.84,19.15,18.82,19.1,1409726.0
2025-12-08,19.2,19.38,19.01,19.16,1598651.0
2025-12-09,19.21,19.47,19.055,19.08,1069787.0
2025-12-10,19.04,19.94,19.03,19.91,2365591.0
2025-12-11,19.75,20.17,19.73,19.83,2525881.0
2025-12-12,19.91,20.04,19.705,19.83,2370654.0
2025-12-15,19.94,20.01,19.54,19.71,1920264.0
2025-12-16,19.81,19.87,19.51,19.65,1283263.0
2025-12-17,19.67,19.97,19.6,19.69,1334284.0
2025-12-18,19.88,20.065,19.75,19.78,1220671.0
2025-12-19,19.89,19.94,19.6,19.71,3685798.0
2025-12-22,19.72,19.97,19.72,19.9,1880923.0
2025-12-23,19.91,19.97,19.66,19.69,1842746.0
2025-12-24,19.66,19.735,19.51,19.67,698235.0
2025-12-26,19.62,19.71,19.575,19.7,884935.0
2025-12-29,19.73,19.77,19.42,19.63,1254215.0
2025-12-30,19.62,19.73,19.365,19.44,1551854.0
2025-12-31,19.61,19.61,19.24,19.29,1096041.0
2026-01-02,19.31,19.76,19.11,19.45,1709939.0
2026-01-05,19.33,20.075,19.33,19.84,2053979.0
2026-01-06,19.72,20.125,19.6,20.12,1541366.0
2026-01-07,20.05,20.295,19.78,20.11,1916158.0
2026-01-08,19.99,20.68,19.99,20.47,2301699.0
2026-01-09,20.54,20.615,19.99,20.07,2613859.0
