# LEADERSHIP TRADE BAR DATA
# trade_id     : 1214
# symbol       : FOXA
# entry_date   : 2025-12-03
# exit_date    : 2025-12-12
# entry_price  : 67.26
# exit_price   : 71.33
# profit_pct   : 0.0605115
# realized_pnl : NULL
# shares       : 17
# exit_reason  : Stop Loss (Original Stop)
# bar_window   : 30d before entry → 30d after exit
# total_bars   : 47
#
date,open,high,low,close,volume
2025-11-03,64.27,64.9,62.62,63.62,4202661.0
2025-11-04,63.29,64.955,62.4,64.53,3779358.0
2025-11-05,64.34,65.645,63.61,64.78,4906081.0
2025-11-06,64.69,66.125,64.65,65.71,3889084.0
2025-11-07,65.55,66.64,65.16,65.97,4029933.0
2025-11-10,66.12,67.17,65.54,66.53,3276610.0
2025-11-11,66.74,67.216,66.13,66.44,4037776.0
2025-11-12,66.38,67.1,65.94,66.71,3316418.0
2025-11-13,66.35,66.64,65.27,65.44,3507911.0
2025-11-14,65.14,65.54,64.68,64.84,2642777.0
2025-11-17,65.11,66.11,64.31,64.55,3581919.0
2025-11-18,64.47,65.81,63.94,64.96,2736237.0
2025-11-19,64.88,65.63,64.68,64.78,2080047.0
2025-11-20,65.38,65.79,64.73,65.14,2670711.0
2025-11-21,65.25,66.345,65.16,65.69,3151688.0
2025-11-24,64.98,65.3,63.07,64.3,7055296.0
2025-11-25,64.59,65.09,64.38,64.73,2384116.0
2025-11-26,64.62,65.53,64.62,65.05,2159544.0
2025-11-28,65.41,65.69,64.94,65.5,1391686.0
2025-12-01,65.17,66.88,65.17,66.39,4117221.0
2025-12-02,66.54,66.735,65.41,66.25,3361024.0
2025-12-03,66.27,67.33,66.27,66.45,2744507.0
2025-12-04,66.48,67.88,66.31,67.79,3557108.0
2025-12-05,68.02,69.24,67.77,68.4,3768407.0
2025-12-08,68.87,69.63,68.2,69.21,4508055.0
2025-12-09,69.22,70.63,69.21,70.3,3147980.0
2025-12-10,70.24,71.97,70.1,71.74,4824421.0
2025-12-11,71.75,72.7,71.34,71.82,4557899.0
2025-12-12,72.125,72.54,71.005,71.1,3345757.0
2025-12-15,71.4,72.96,71.02,71.23,3497544.0
2025-12-16,71.18,71.55,70.09,70.36,2608147.0
2025-12-17,70.4,71.45,70.35,71.17,2738236.0
2025-12-18,71.25,71.94,70.83,71.26,2455974.0
2025-12-19,71.14,72.31,70.87,71.77,10659166.0
2025-12-22,72.53,74.63,72.34,73.62,5134635.0
2025-12-23,73.55,74.2,73.01,73.71,2717955.0
2025-12-24,73.6,73.95,73.28,73.91,1067078.0
2025-12-26,73.99,74.51,73.75,74.3,1248124.0
2025-12-29,74.3,74.6746,73.8,73.82,2529973.0
2025-12-30,73.71,74.21,73.55,73.7,1514797.0
2025-12-31,73.64,73.9425,72.98,73.07,1462174.0
2026-01-02,73.13,74.035,72.395,73.76,2235495.0
2026-01-05,73.64,76.31,73.64,75.67,4409654.0
2026-01-06,75.5,76.37,75.425,76.11,3233850.0
2026-01-07,76.03,76.33,74.13,75.03,3221108.0
2026-01-08,74.72,76.005,74.675,75.69,2624999.0
2026-01-09,75.95,76.39,73.635,73.68,2408688.0
