# LEADERSHIP TRADE BAR DATA
# trade_id     : 1273
# symbol       : TERN
# entry_date   : 2025-12-05
# exit_date    : 2025-12-12
# entry_price  : 30.09
# exit_price   : 45.21
# profit_pct   : 0.502493
# realized_pnl : NULL
# shares       : 18
# exit_reason  : Stop Loss (Original Stop)
# bar_window   : 30d before entry → 30d after exit
# total_bars   : 45
#
date,open,high,low,close,volume
2025-11-05,17.155,18.6,16.8301,18.19,4380431.0
2025-11-06,17.81,18.41,17.39,18.25,2748679.0
2025-11-07,18.0,18.5,17.39,18.47,3463567.0
2025-11-10,18.72,19.98,18.3,19.12,3375894.0
2025-11-11,18.8,21.03,18.75,20.58,3015961.0
2025-11-12,20.63,21.12,19.9,20.3,2541187.0
2025-11-13,20.48,21.4793,20.24,20.73,2621837.0
2025-11-14,20.51,23.31,20.3,22.56,3930186.0
2025-11-17,22.63,26.12,22.63,25.56,8270202.0
2025-11-18,25.27,27.58,25.11,27.56,5335105.0
2025-11-19,27.48,28.25,26.4401,27.12,4201716.0
2025-11-20,27.2,28.49,26.02,26.11,3405306.0
2025-11-21,25.99,26.51,25.31,26.315,2486562.0
2025-11-24,27.0,28.27,26.13,28.04,3441962.0
2025-11-25,28.8,29.38,27.41,29.345,4345524.0
2025-11-26,29.51,29.51,28.27,28.75,1952277.0
2025-11-28,28.99,29.0,28.11,28.11,1027032.0
2025-12-01,27.9,28.15,26.87,27.53,2656526.0
2025-12-02,27.79,27.9,25.67,25.79,2766760.0
2025-12-03,25.92,27.88,25.75,27.49,3750447.0
2025-12-04,27.22,28.17,26.53,27.13,3626123.0
2025-12-05,27.73,30.25,27.42,29.36,6237696.0
2025-12-08,31.53,45.0,30.12,40.23,13539044.0
2025-12-09,40.0,45.18,40.0,42.57,9280863.0
2025-12-10,42.515,48.26,42.34,44.61,11396596.0
2025-12-11,45.15,48.0,45.0,47.09,5755253.0
2025-12-12,46.98,47.13,44.5,45.0,6876199.0
2025-12-15,44.64,45.09,43.5522,44.01,5416394.0
2025-12-16,44.09,45.17,42.2404,42.92,3460060.0
2025-12-17,43.03,43.4,41.21,41.98,2718362.0
2025-12-18,42.55,42.58,39.15,39.82,6005266.0
2025-12-19,40.16,41.02,39.3,39.9,3672339.0
2025-12-22,40.01,40.91,39.72,40.64,2635809.0
2025-12-23,40.25,42.8,40.12,41.53,2609123.0
2025-12-24,41.83,42.97,41.37,42.38,1362501.0
2025-12-26,42.19,42.525,41.41,41.52,974238.0
2025-12-29,41.83,41.83,40.9,41.5,1804282.0
2025-12-30,41.21,41.5,39.96,40.59,1603507.0
2025-12-31,40.6,41.0476,39.94,40.4,1594895.0
2026-01-02,40.43,41.263,38.78,40.11,1783516.0
2026-01-05,40.13,40.48,37.94,39.19,2483660.0
2026-01-06,39.91,39.97,37.37,38.32,2279788.0
2026-01-07,37.89,40.84,37.89,40.0,2378131.0
2026-01-08,39.94,40.39,37.1653,37.77,2741977.0
2026-01-09,37.83,38.3499,35.0,35.48,3504306.0
