# LEADERSHIP TRADE BAR DATA
# trade_id     : 1300
# symbol       : VIAV
# entry_date   : 2025-12-08
# exit_date    : 2025-12-12
# entry_price  : 18.69
# exit_price   : 18.74
# profit_pct   : 0.00267523
# realized_pnl : NULL
# shares       : 37
# exit_reason  : Stop Loss (Original Stop)
# bar_window   : 30d before entry → 30d after exit
# total_bars   : 42
#
date,open,high,low,close,volume
2025-11-10,18.228,18.46,17.945,18.16,3784281.0
2025-11-11,18.16,18.16,17.53,17.91,3720269.0
2025-11-12,18.0,18.23,17.76,17.81,2746694.0
2025-11-13,17.74,17.86,16.653,16.93,4594675.0
2025-11-14,16.52,17.1676,16.42,16.89,3830369.0
2025-11-17,16.83,17.24,16.665,16.7,2461784.0
2025-11-18,16.58,16.73,16.33,16.58,2121147.0
2025-11-19,16.62,16.84,16.11,16.14,5070052.0
2025-11-20,16.71,16.87,15.86,15.92,5318809.0
2025-11-21,16.0,16.03,15.505,15.96,3036918.0
2025-11-24,16.01,16.695,15.97,16.55,3637981.0
2025-11-25,16.61,17.54,16.5301,17.48,4648301.0
2025-11-26,17.58,18.16,17.445,17.96,3944759.0
2025-11-28,18.02,18.02,17.72,17.94,1618222.0
2025-12-01,17.665,17.84,17.54,17.61,2894712.0
2025-12-02,17.75,17.98,17.35,17.56,4162362.0
2025-12-03,17.46,17.555,16.69,17.51,3283665.0
2025-12-04,17.44,17.79,17.36,17.5,2164866.0
2025-12-05,17.48,18.55,17.39,18.32,6050399.0
2025-12-08,18.45,18.895,18.06,18.59,5111369.0
2025-12-09,18.51,19.02,18.3,18.94,3606372.0
2025-12-10,18.76,19.725,18.74,19.2,6525995.0
2025-12-11,19.01,19.755,18.83,19.57,5229426.0
2025-12-12,19.5,19.56,17.98,18.0,5071969.0
2025-12-15,18.02,18.44,17.84,17.88,2908672.0
2025-12-16,17.52,17.95,16.9101,17.28,4754134.0
2025-12-17,17.77,17.82,17.06,17.14,2936249.0
2025-12-18,17.275,17.51,17.205,17.4,2164387.0
2025-12-19,17.3,18.12,17.29,18.02,6006556.0
2025-12-22,18.09,18.4799,18.07,18.41,1978982.0
2025-12-23,18.26,18.48,18.1684,18.3,1885511.0
2025-12-24,18.36,18.45,18.212,18.26,723873.0
2025-12-26,18.29,18.311,18.082,18.195,982548.0
2025-12-29,18.08,18.27,17.8912,18.1,1597216.0
2025-12-30,18.14,18.2,17.945,18.01,1990295.0
2025-12-31,18.115,18.2,17.78,17.82,2147411.0
2026-01-02,18.05,18.18,17.732,18.15,2579555.0
2026-01-05,18.435,18.515,17.43,18.11,3055678.0
2026-01-06,18.095,18.68,17.72,18.58,3933527.0
2026-01-07,18.58,18.65,17.91,18.54,4497029.0
2026-01-08,18.43,18.48,16.975,17.11,4938756.0
2026-01-09,17.08,17.79,17.02,17.78,4413760.0
