# LEADERSHIP TRADE BAR DATA
# trade_id     : 1415
# symbol       : JNJ
# entry_date   : 2025-12-11
# exit_date    : 2025-12-16
# entry_price  : 208.33
# exit_price   : 208.9
# profit_pct   : 0.00273604
# realized_pnl : NULL
# shares       : 10
# exit_reason  : Stop Loss (Original Stop)
# bar_window   : 30d before entry → 30d after exit
# total_bars   : 45
#
date,open,high,low,close,volume
2025-11-11,189.385,193.92,189.05,193.83,7465592.0
2025-11-12,193.36,195.545,193.07,194.39,8803005.0
2025-11-13,194.21,196.0,193.45,195.25,8631614.0
2025-11-14,195.0,197.18,193.55,195.93,8824847.0
2025-11-17,196.96,200.275,195.9,199.58,13256995.0
2025-11-18,199.01,200.3,198.5344,200.0,12468619.0
2025-11-19,200.0,203.48,199.38,202.51,14690837.0
2025-11-20,202.0,204.51,201.57,203.07,10612550.0
2025-11-21,203.96,206.9399,202.99,203.9,13189055.0
2025-11-24,203.71,206.12,203.0,206.05,14803873.0
2025-11-25,205.18,207.72,205.1788,206.67,10275724.0
2025-11-26,206.485,207.81,205.9426,207.56,6728994.0
2025-11-28,207.0,207.46,204.63,206.92,5634456.0
2025-12-01,206.5,207.7,205.34,205.34,8473726.0
2025-12-02,205.24,205.61,203.1,205.42,8393565.0
2025-12-03,205.9,207.02,204.99,205.33,8363292.0
2025-12-04,204.59,204.86,201.71,202.48,9049943.0
2025-12-05,202.98,203.45,200.81,201.93,7785552.0
2025-12-08,202.66,203.255,200.99,201.62,7785708.0
2025-12-09,202.92,205.54,199.905,199.96,7509402.0
2025-12-10,200.59,206.8,200.1799,206.54,11599785.0
2025-12-11,207.9,211.235,207.83,210.01,9008860.0
2025-12-12,210.28,212.27,208.9632,211.58,6922683.0
2025-12-15,210.345,215.185,209.0057,214.17,8466964.0
2025-12-16,214.0,214.73,208.81,209.3,9949810.0
2025-12-17,209.385,211.515,208.46,210.33,8457560.0
2025-12-18,209.8,211.06,207.756,208.31,7499852.0
2025-12-19,207.56,209.24,206.03,206.37,24803920.0
2025-12-22,206.13,208.08,205.5,207.32,8187755.0
2025-12-23,205.02,206.53,203.28,205.78,7047346.0
2025-12-24,206.0,207.94,205.57,207.78,2376541.0
2025-12-26,207.53,208.04,206.7101,207.63,2316730.0
2025-12-29,208.0,209.47,207.38,207.56,4348854.0
2025-12-30,207.51,207.69,206.52,206.91,3937395.0
2025-12-31,206.91,207.5,206.37,206.95,4084013.0
2026-01-02,206.82,207.385,203.68,207.35,6325672.0
2026-01-05,205.87,205.935,200.9101,204.31,9476975.0
2026-01-06,204.6,206.705,204.115,204.79,8107853.0
2026-01-07,205.26,208.26,205.03,207.49,7545920.0
2026-01-08,206.93,208.98,204.97,205.75,6557776.0
2026-01-09,205.91,206.7,204.01,204.39,6154326.0
2026-01-12,205.55,209.9,203.85,209.72,11794339.0
2026-01-13,209.91,214.39,208.86,213.65,11379590.0
2026-01-14,214.73,218.86,214.145,218.55,11858784.0
2026-01-15,218.23,219.75,215.9106,219.57,8492116.0
