# LEADERSHIP TRADE BAR DATA
# trade_id     : 18286
# symbol       : STM
# entry_date   : 2026-04-01
# exit_date    : 2026-06-09
# entry_price  : 34.59
# exit_price   : 69.94
# profit_pct   : 1.02197
# realized_pnl : 1060.5
# shares       : 30
# exit_reason  : Stop Loss (Trailed or Moved)
# bar_window   : 30d before entry → 30d after exit
# total_bars   : 72
#
date,open,high,low,close,volume
2026-03-02,32.535,33.52,32.535,33.48,5676735.530763
2026-03-03,31.18,31.915,30.89,31.62,8316949.494888
2026-03-04,32.21,33.43,31.88,33.33,10061127.156784
2026-03-05,33.41,34.11,32.49,33.31,10238735.891443
2026-03-06,31.565,31.88,31.19,31.36,7463546.551506
2026-03-09,31.255,33.725,30.66,33.53,13791435.254296
2026-03-10,33.67,34.6,33.395,33.52,12469659.673296
2026-03-11,33.925,34.365,33.47,34.06,6756784.447594
2026-03-12,34.28,34.29,32.97,33.24,11451067.977365
2026-03-13,33.3,33.735,32.595,32.87,7645279.143693
2026-03-16,33.87,34.175,32.89,33.46,11430212.384507
2026-03-17,34.2,34.23,33.514,33.79,7266892.100492
2026-03-18,33.96,34.05,33.04,33.23,5148138.625529
2026-03-19,31.495,32.76,31.31,32.42,8091828.724311
2026-03-20,32.34,32.38,30.375,30.86,12034325.779259
2026-03-23,31.48,32.29,31.34,31.66,7821346.429076
2026-03-24,30.72,32.115,30.72,31.95,6440087.133376
2026-03-25,32.85,33.72,32.77,33.42,7785994.841331
2026-03-26,33.21,34.0899,32.78,32.91,11451479.44206
2026-03-27,32.44,32.93,32.19,32.54,8050344.607656
2026-03-30,32.955,33.16,31.115,31.32,8749726.33647
2026-03-31,32.47,34.57,32.35,34.55,11198161.700717
2026-04-01,34.51,34.995,34.35,34.52,8863789.933454
2026-04-02,32.74,34.39,32.63,34.32,7366126.269509
2026-04-06,34.54,36.45,34.52,35.44,10218958.10997
2026-04-07,35.7,35.9,34.81,35.68,10636277.87549
2026-04-08,38.045,38.15,37.255,37.98,10273486.450421
2026-04-09,38.2,39.28,38.07,39.14,9136572.823614
2026-04-10,39.6,40.04,39.395,39.48,7549964.076183
2026-04-13,39.67,40.405,39.4,40.32,4928644.02093
2026-04-14,40.9,41.435,40.44,40.9,7523133.836704
2026-04-15,40.71,40.84,40.0,40.68,6491142.875729
2026-04-16,40.56,41.75,40.29,41.57,12235932.439808
2026-04-17,43.21,44.64,43.0498,44.22,19657187.158956
2026-04-20,44.2,44.78,43.76,44.46,12186835.894154
2026-04-21,44.71,45.105,43.86,44.3,9121389.018952
2026-04-22,44.69,44.98,43.89,44.86,16940828.50056
2026-04-23,48.13,51.4,48.095,49.71,25606922.094858
2026-04-24,51.59,51.6,49.77,50.47,13623569.013986
2026-04-27,50.19,50.815,49.39,50.56,10660714.573792
2026-04-28,50.185,50.59,48.965,49.81,10092038.163072
2026-04-29,51.66,53.26,51.38,52.67,17343116.145943
2026-04-30,52.95,55.305,52.445,55.14,15349758.288095
2026-05-01,54.74,56.42,54.35,55.75,8407086.827712
2026-05-04,56.32,56.52,54.61,55.13,11057819.417172
2026-05-05,55.98,57.67,55.78,57.18,12588411.873128
2026-05-06,56.98,58.01,55.56,57.95,12040930.030123
2026-05-07,57.74,57.89,55.2,55.9,10745939.072112
2026-05-08,56.72,59.4,56.7,59.17,11477866.428223
2026-05-11,59.05,60.2,58.365,60.12,10762507.535892
2026-05-12,58.44,58.77,55.6,57.93,10838951.371828
2026-05-13,61.24,63.73,60.34,63.39,16894999.954584
2026-05-14,63.36,65.31,63.06,64.38,11782993.702702
2026-05-15,60.62,62.21,59.935,61.41,9400368.769078
2026-05-18,63.2,63.34,59.715,60.96,13919693.916687
2026-05-19,59.975,62.4,59.075,61.23,10720880.125696
2026-05-20,63.77,65.06,63.19,64.93,10873227.166087
2026-05-21,64.5,65.99,63.82,65.66,7584726.567912
2026-05-22,66.5,68.14,66.175,66.86,7691471.769591
2026-05-26,69.745,71.07,69.1441,70.69,15499330.15539
2026-05-27,70.53,70.77,66.13,67.75,13390157.709508
2026-05-28,70.06,70.2,67.46,69.45,10094112.023745
2026-05-29,70.27,70.92,68.04,69.31,8961627.772254
2026-06-01,68.68,69.43,66.99,69.02,9921071.789579
2026-06-02,76.37,80.585,75.61,79.51,20790664.006003
2026-06-03,80.295,81.42,78.09,79.71,15336675.816936
2026-06-04,75.0,78.6379,74.71,78.36,13626972.830524
2026-06-05,73.68,74.49,69.415,70.72,20081578.746794
2026-06-08,74.74,76.66,74.215,75.01,13173815.992371
2026-06-09,75.815,76.31,67.73,73.32,24160072.396189
2026-06-10,72.36,74.2,70.0185,70.74,17252290.12084
2026-06-11,74.03,78.255,73.155,78.12,18002536.085749
