# LEADERSHIP TRADE BAR DATA
# trade_id     : 19111
# symbol       : QSR
# entry_date   : 2026-04-02
# exit_date    : 2026-04-30
# entry_price  : 75.25
# exit_price   : 78.76
# profit_pct   : 0.0466445
# realized_pnl : 52.65
# shares       : 15
# exit_reason  : Take Profit
# bar_window   : 30d before entry → 30d after exit
# total_bars   : 62
#
date,open,high,low,close,volume
2026-03-03,70.87,72.97,70.0629,72.14,4365522.036467
2026-03-04,72.08,72.11,70.55,71.36,4352241.423676
2026-03-05,71.01,73.535,70.805,73.33,4486497.937073
2026-03-06,73.12,74.415,71.9,73.98,5030498.957141
2026-03-09,72.41,73.51,70.721,73.36,4465259.211938
2026-03-10,73.16,73.4,71.72,72.0,3214722.318449
2026-03-11,72.1,72.53,70.8,72.01,4152939.997938
2026-03-12,71.91,73.17,71.785,72.09,4187082.901863
2026-03-13,72.66,73.02,71.99,72.65,3478736.481883
2026-03-16,72.9,75.08,72.785,74.57,4677719.965655
2026-03-17,74.76,75.57,74.59,75.05,4248416.545697
2026-03-18,74.63,75.48,74.02,74.26,10792907.761385
2026-03-19,73.42,74.5,73.215,74.13,6467483.734772
2026-03-20,74.06,74.22,73.11,73.75,6428910.279207
2026-03-23,74.12,75.6598,73.6928,75.01,3641354.879413
2026-03-24,74.83,75.665,73.8,73.85,2871750.932005
2026-03-25,74.5,74.5,71.42,72.92,4467764.994541
2026-03-26,72.98,74.07,72.81,73.1,2402072.860134
2026-03-27,73.06,73.25,71.15,71.42,2529289.308984
2026-03-30,71.99,74.55,71.905,73.76,2459643.470423
2026-03-31,74.28,74.675,73.405,73.9,2751846.149834
2026-04-01,73.83,75.165,73.655,75.1,4541386.809943
2026-04-02,75.28,77.18,74.67,76.58,5080040.832225
2026-04-06,76.5,77.95,76.5,77.23,2650341.502741
2026-04-07,77.09,77.41,76.375,76.51,3048319.95122
2026-04-08,77.35,77.73,76.11,77.56,2319655.076106
2026-04-09,77.58,78.4299,76.85,76.87,3253380.131406
2026-04-10,76.84,77.73,76.26,76.39,2422309.097058
2026-04-13,76.28,77.775,76.23,77.51,2615833.286858
2026-04-14,77.61,78.805,77.52,78.57,2173639.180794
2026-04-15,78.81,79.53,78.56,78.72,1968763.164517
2026-04-16,78.75,79.505,77.31,77.61,3184539.39447
2026-04-17,77.53,78.635,77.44,78.32,2826446.761695
2026-04-20,78.7,79.16,78.45,78.91,1958624.453281
2026-04-21,78.94,79.21,78.1335,78.69,1695442.551361
2026-04-22,78.93,79.4,78.39,79.0,2257671.250636
2026-04-23,79.6,81.54,79.31,81.23,3999344.711293
2026-04-24,80.89,81.665,80.515,80.9,3283957.870896
2026-04-27,80.55,81.07,78.8,78.87,3365401.172659
2026-04-28,79.07,79.695,78.045,78.2,3970837.415097
2026-04-29,78.21,79.25,77.98,78.7,2377815.099622
2026-04-30,78.76,80.99,78.76,80.68,4608471.120992
2026-05-01,80.99,81.24,79.69,80.03,3767914.577264
2026-05-04,79.83,81.08,79.63,80.05,2960175.269223
2026-05-05,80.49,81.91,79.845,81.67,3419962.732935
2026-05-06,81.12,81.96,76.21,77.2,7273528.072444
2026-05-07,76.49,79.36,75.71,79.14,5753666.943586
2026-05-08,79.43,80.035,78.4,79.71,4160029.010033
2026-05-11,79.71,79.915,78.2,78.23,5731426.494838
2026-05-12,78.73,79.015,77.12,78.3,3289793.546953
2026-05-13,78.23,79.48,76.15,76.44,4446716.971842
2026-05-14,76.72,77.35,75.67,76.44,3327090.857766
2026-05-15,76.74,76.91,75.605,75.84,2705738.068934
2026-05-18,75.94,76.46,74.845,75.69,1912704.396621
2026-05-19,75.72,76.36,75.29,75.77,2305801.092905
2026-05-20,75.62,76.85,75.03,76.53,2102543.225349
2026-05-21,75.98,76.495,74.79,76.25,2707654.35109
2026-05-22,76.43,76.63,74.48,75.38,4139964.80712
2026-05-26,75.76,76.75,75.11,75.42,2379969.330638
2026-05-27,75.37,75.99,74.61,74.72,2395234.06909
2026-05-28,74.38,74.95,74.1,74.31,2328612.393841
2026-05-29,74.0,75.335,73.79,74.7,3239809.664327
