# LEADERSHIP TRADE BAR DATA
# trade_id     : 1943
# symbol       : MS
# entry_date   : 2026-01-05
# exit_date    : 2026-01-07
# entry_price  : 182.65
# exit_price   : 185.64
# profit_pct   : 0.0163701
# realized_pnl : NULL
# shares       : 30
# exit_reason  : Stop Loss (Original Stop)
# bar_window   : 30d before entry → 30d after exit
# total_bars   : 42
#
date,open,high,low,close,volume
2025-12-08,176.99,178.96,176.0622,176.83,7271671.0
2025-12-09,176.78,180.645,176.775,178.83,4191511.0
2025-12-10,178.5,181.31,177.75,179.71,6591580.0
2025-12-11,180.13,181.98,179.5,180.29,7598711.0
2025-12-12,181.15,181.15,177.7484,178.41,4961521.0
2025-12-15,179.91,180.9,177.73,177.79,5219025.0
2025-12-16,178.125,178.65,175.68,176.51,6840534.0
2025-12-17,178.045,179.45,174.46,174.8,5796489.0
2025-12-18,176.545,177.07,172.58,172.96,7993551.0
2025-12-19,173.455,177.7,173.455,176.98,10639418.0
2025-12-22,177.59,180.26,177.41,179.76,4574569.0
2025-12-23,179.83,180.58,179.13,179.5,3514849.0
2025-12-24,180.16,182.0,179.53,181.65,2647968.0
2025-12-26,181.85,182.34,181.1,181.87,2564707.0
2025-12-29,181.185,181.7,179.75,179.94,2464319.0
2025-12-30,180.28,180.38,178.26,179.08,2365948.0
2025-12-31,179.51,179.7099,177.4,177.53,3098076.0
2026-01-02,178.515,181.96,177.14,181.9,4509869.0
2026-01-05,182.2,188.51,182.055,186.54,6787439.0
2026-01-06,186.7,188.82,185.75,187.75,3795571.0
2026-01-07,187.3,187.75,184.34,184.79,3532357.0
2026-01-08,183.91,186.14,183.66,184.68,3746117.0
2026-01-09,185.695,186.92,185.04,186.32,4630857.0
2026-01-12,184.63,187.27,183.92,186.57,5635447.0
2026-01-13,186.96,187.02,182.145,182.76,6594775.0
2026-01-14,182.19,182.35,178.93,180.78,8434008.0
2026-01-15,181.0,192.16,181.0,191.23,12957086.0
2026-01-16,190.555,192.68,189.0,189.09,8398073.0
2026-01-20,185.25,186.7,181.28,182.1,11302583.0
2026-01-21,182.47,186.42,182.0206,183.32,11715802.0
2026-01-22,184.53,186.04,182.26,183.05,8966903.0
2026-01-23,181.87,181.87,177.95,179.0,8532788.0
2026-01-26,179.36,182.44,178.86,181.88,6389837.0
2026-01-27,182.235,183.97,181.15,182.66,5138116.0
2026-01-28,182.44,183.005,180.38,182.34,5538764.0
2026-01-29,183.175,185.03,179.46,182.4,7473369.0
2026-01-30,180.21,183.15,179.97,182.8,7434926.0
2026-02-02,182.61,185.44,180.55,185.1,6827209.0
2026-02-03,185.28,188.68,178.45,182.91,7751645.0
2026-02-04,182.73,183.65,178.5,180.08,7571868.0
2026-02-05,178.0,179.45,173.25,175.84,9571786.0
2026-02-06,178.89,181.185,177.5,179.96,9139724.0
