# LEADERSHIP TRADE BAR DATA
# trade_id     : 1984
# symbol       : DG
# entry_date   : 2026-01-06
# exit_date    : 2026-01-09
# entry_price  : 140.11
# exit_price   : 142.46
# profit_pct   : 0.0167725
# realized_pnl : NULL
# shares       : 30
# exit_reason  : Stop Loss (Original Stop)
# bar_window   : 30d before entry → 30d after exit
# total_bars   : 42
#
date,open,high,low,close,volume
2025-12-08,133.08,133.09,122.7,124.27,6759779.0
2025-12-09,124.97,128.55,124.07,125.54,4086456.0
2025-12-10,126.54,126.625,123.86,125.89,2939356.0
2025-12-11,126.25,132.71,126.145,132.68,4209227.0
2025-12-12,132.5,133.31,130.78,133.21,4593192.0
2025-12-15,134.3,135.57,132.03,132.93,4561702.0
2025-12-16,132.94,135.68,132.8,134.51,6147945.0
2025-12-17,134.19,137.6,133.5,136.97,3765667.0
2025-12-18,135.95,137.895,135.66,136.68,4335377.0
2025-12-19,135.97,137.415,134.18,137.28,5137233.0
2025-12-22,138.0,138.46,136.38,137.52,3666686.0
2025-12-23,137.18,137.2,133.88,134.25,2338995.0
2025-12-24,134.56,136.25,133.5,135.45,966921.0
2025-12-26,135.85,137.9,135.54,137.84,1722544.0
2025-12-29,137.73,139.83,137.05,137.52,3212677.0
2025-12-30,136.835,138.085,135.727,135.82,1513447.0
2025-12-31,135.15,135.71,132.57,132.77,2345070.0
2026-01-02,132.785,137.7,132.65,136.82,3544359.0
2026-01-05,135.56,138.98,133.85,138.93,3707974.0
2026-01-06,139.23,146.19,139.01,144.69,5826118.0
2026-01-07,145.04,146.0,142.82,143.51,3743234.0
2026-01-08,144.0,145.16,142.51,144.0,3466016.0
2026-01-09,144.18,144.895,141.55,142.74,3020257.0
2026-01-12,142.77,149.06,142.21,148.86,3921931.0
2026-01-13,148.5,152.09,147.56,151.25,3054019.0
2026-01-14,152.03,154.75,150.865,150.95,2862681.0
2026-01-15,150.75,152.68,149.08,151.73,3047979.0
2026-01-16,151.41,152.16,147.71,148.74,3816707.0
2026-01-20,148.6,151.26,145.83,146.63,4301735.0
2026-01-21,146.95,147.865,145.29,147.16,3588591.0
2026-01-22,147.09,149.255,143.99,144.6,3926810.0
2026-01-23,145.23,147.405,144.3899,146.92,2447708.0
2026-01-26,148.75,152.74,148.68,150.33,3367626.0
2026-01-27,150.99,151.09,147.16,147.66,2580034.0
2026-01-28,146.97,147.77,143.39,145.04,2117822.0
2026-01-29,145.08,145.66,140.85,141.78,2622986.0
2026-01-30,140.11,143.57,140.0,143.43,2307444.0
2026-02-02,143.7,145.27,142.71,143.51,3019599.0
2026-02-03,144.49,150.06,142.96,148.04,4347731.0
2026-02-04,149.34,151.1724,146.44,149.25,2792687.0
2026-02-05,148.56,149.5,144.61,144.9,2433715.0
2026-02-06,146.53,148.21,145.82,146.65,1715450.0
