# LEADERSHIP TRADE BAR DATA
# trade_id     : 22864
# symbol       : SIRI
# entry_date   : 2026-04-17
# exit_date    : 2026-04-22
# entry_price  : 24.84
# exit_price   : 26.46
# profit_pct   : 0.0652174
# realized_pnl : 72.9
# shares       : 45
# exit_reason  : Stop Loss (Original Stop)
# bar_window   : 30d before entry → 30d after exit
# total_bars   : 47
#
date,open,high,low,close,volume
2026-03-18,22.5,22.88,22.4,22.48,2769522.124896
2026-03-19,22.47,22.67,22.265,22.4,2667370.413068
2026-03-20,22.32,22.42,21.94,21.99,6127476.131328
2026-03-23,22.06,22.52,21.96,22.47,2884162.351241
2026-03-24,22.22,22.73,22.17,22.36,2413827.53223
2026-03-25,22.48,23.04,22.425,22.99,4197455.712127
2026-03-26,22.92,23.22,22.87,22.95,2983374.411598
2026-03-27,22.97,23.1,22.7601,22.84,2581517.014271
2026-03-30,22.84,23.05,22.63,22.76,2621893.517342
2026-03-31,22.76,23.32,22.74,23.08,3917022.905739
2026-04-01,23.08,23.46,22.961,23.41,3539359.5807
2026-04-02,23.35,24.16,23.29,23.79,7538827.50018
2026-04-06,23.88,24.262,23.365,23.39,4078097.099192
2026-04-07,23.44,23.78,23.2209,23.71,2461109.173023
2026-04-08,24.03,24.03,23.3,23.47,4601202.989712
2026-04-09,23.26,23.52,23.16,23.43,4238043.913663
2026-04-10,23.44,23.76,23.44,23.7,2320700.924423
2026-04-13,23.68,23.9,23.45,23.89,2006119.180913
2026-04-14,24.0,24.1,23.71,23.72,3087381.797473
2026-04-15,23.77,24.245,23.745,24.21,3030502.388604
2026-04-16,24.2,24.77,24.16,24.73,4647917.779543
2026-04-17,24.73,25.91,24.73,25.48,7551604.670611
2026-04-20,25.47,27.23,25.37,27.22,13758124.426346
2026-04-21,27.28,27.34,26.125,26.18,8286409.216408
2026-04-22,26.46,28.435,26.4,28.06,12446341.184765
2026-04-23,28.73,28.77,27.89,28.0,8069666.474081
2026-04-24,28.1,28.5,26.03,26.61,12197639.256782
2026-04-27,26.745,27.18,26.275,26.55,6665917.310891
2026-04-28,26.73,26.84,26.12,26.26,4950418.403091
2026-04-29,26.26,26.865,26.09,26.76,7776441.530097
2026-04-30,26.0,27.46,25.09,26.94,8978654.694216
2026-05-01,27.25,27.56,26.99,27.22,5716203.050202
2026-05-04,27.34,27.51,26.73,26.77,3524996.190794
2026-05-05,26.76,26.8,25.915,26.4,4669410.205575
2026-05-06,26.34,26.765,25.96,26.68,5189282.107946
2026-05-07,26.57,27.125,26.4,26.75,3526486.852941
2026-05-08,26.82,27.115,26.25,27.1,2825400.178041
2026-05-11,27.0,27.48,26.7,26.785,3820636.335406
2026-05-12,26.8,26.89,26.15,26.16,3375741.120272
2026-05-13,26.15,26.67,26.1,26.36,3612256.711364
2026-05-14,26.45,26.66,26.205,26.22,3166664.708533
2026-05-15,26.2,26.29,25.51,25.83,2709786.248902
2026-05-18,25.9,26.32,25.71,26.09,2978052.058543
2026-05-19,26.04,26.07,25.67,26.05,2557035.939091
2026-05-20,26.05,27.06,25.925,27.05,5836662.719242
2026-05-21,27.49,29.24,27.32,28.99,8235406.150635
2026-05-22,29.08,29.598,28.65,28.89,4944056.198046
