# LEADERSHIP TRADE BAR DATA
# trade_id     : 22926
# symbol       : NI
# entry_date   : 2026-04-20
# exit_date    : 2026-05-01
# entry_price  : 47.72
# exit_price   : 48.3
# profit_pct   : 0.0121542
# realized_pnl : 14.5
# shares       : 25
# exit_reason  : Exit Signal
# bar_window   : 30d before entry → 30d after exit
# total_bars   : 48
#
date,open,high,low,close,volume
2026-03-23,46.15,46.15,45.35,45.47,2447992.328323
2026-03-24,45.16,46.09,45.12,45.68,3603524.697772
2026-03-25,46.06,46.205,45.51,45.68,2171142.976114
2026-03-26,45.46,45.85,45.36,45.44,2711270.290621
2026-03-27,45.37,46.41,45.14,45.97,4288710.34432
2026-03-30,46.84,46.89,46.24,46.5,2925431.596332
2026-03-31,46.64,46.97,46.16,46.66,4802690.537047
2026-04-01,46.58,47.245,46.43,46.9,2322569.489079
2026-04-02,46.91,47.515,46.72,47.49,1982594.787529
2026-04-06,47.25,47.52,47.08,47.14,2016455.761971
2026-04-07,47.1,47.785,46.96,47.65,3546355.46227
2026-04-08,47.57,48.14,47.31,48.1,3240855.154863
2026-04-09,48.07,48.76,48.05,48.47,3703728.512549
2026-04-10,48.37,48.63,47.885,48.05,3146785.255678
2026-04-13,47.95,48.015,46.9,47.19,2964889.666596
2026-04-14,47.11,47.365,46.7,47.22,4517388.344314
2026-04-15,47.04,47.625,46.75,47.37,5035804.812207
2026-04-16,47.29,47.785,46.99,47.72,4100709.924934
2026-04-17,48.565,48.83,47.82,48.31,9707681.425266
2026-04-20,48.17,48.455,47.64,47.78,4388963.212362
2026-04-21,48.09,48.17,46.91,46.93,5129758.674692
2026-04-22,47.31,47.58,46.49,46.85,4417324.916102
2026-04-23,47.16,48.435,47.16,48.29,3982509.802624
2026-04-24,48.28,48.345,47.915,47.99,3402992.343416
2026-04-27,48.1,48.595,48.09,48.22,6147978.203681
2026-04-28,48.54,48.67,48.16,48.5,8554484.650702
2026-04-29,48.37,48.73,48.09,48.18,5855878.970345
2026-04-30,48.15,48.915,47.29,48.28,10098575.228244
2026-05-01,48.3,48.98,48.0,48.08,4686801.90115
2026-05-04,47.91,48.38,47.68,48.08,5654046.015541
2026-05-05,48.17,48.705,47.985,48.19,5278232.699677
2026-05-06,48.305,48.64,46.95,47.51,12195040.44508
2026-05-07,47.38,47.56,46.58,47.02,6155398.675688
2026-05-08,47.24,47.3,46.655,46.72,3853305.997715
2026-05-11,47.07,47.465,46.875,47.03,5078497.056657
2026-05-12,46.97,47.485,46.81,47.19,4193310.441266
2026-05-13,47.03,47.305,46.625,47.05,2684804.756347
2026-05-14,46.92,47.435,46.89,47.42,2885053.093767
2026-05-15,47.16,47.16,46.155,46.3,3908572.368224
2026-05-18,46.7,46.99,46.21,46.55,3829440.117068
2026-05-19,46.46,47.685,46.2,47.42,4539622.006624
2026-05-20,47.84,47.9025,47.02,47.02,5349869.51829
2026-05-21,47.18,47.85,47.1,47.71,4472124.661583
2026-05-22,47.81,47.92,47.375,47.85,2489593.325123
2026-05-26,48.0,48.05,47.64,47.8,3165494.009996
2026-05-27,47.69,47.86,47.36,47.47,2505710.687255
2026-05-28,47.41,47.675,46.605,46.77,3300965.57735
2026-05-29,46.7,46.8799,46.08,46.22,4476445.239799
