# LEADERSHIP TRADE BAR DATA
# trade_id     : 23166
# symbol       : ZM
# entry_date   : 2026-04-30
# exit_date    : 2026-05-15
# entry_price  : 95.76
# exit_price   : 98.91
# profit_pct   : 0.0328947
# realized_pnl : 37.78
# shares       : 12
# exit_reason  : Stop Loss (Trailed or Moved)
# bar_window   : 30d before entry → 30d after exit
# total_bars   : 51
#
date,open,high,low,close,volume
2026-03-31,79.05,80.595,77.985,80.39,4145220.821372
2026-04-01,80.9,81.37,78.91,80.7,2856909.469201
2026-04-02,80.0,82.4,79.17,82.36,2834395.464851
2026-04-06,82.03,83.02,81.23,82.68,2718822.595238
2026-04-07,82.89,85.29,82.83,84.02,4057396.343795
2026-04-08,85.8,86.34,82.88,83.23,4068667.697151
2026-04-09,83.27,84.48,81.9,84.03,4918868.493466
2026-04-10,84.01,84.06,77.015,79.24,6055436.564033
2026-04-13,79.86,82.88,79.24,82.8,4634618.937217
2026-04-14,83.5,84.64,81.23,82.4,3562854.33487
2026-04-15,83.855,89.46,83.33,89.03,6063811.329041
2026-04-16,90.0,90.5,86.0801,86.68,5060935.325774
2026-04-17,88.82,89.1,87.11,88.02,3633921.131659
2026-04-20,89.08,90.69,88.11,90.56,3528283.253507
2026-04-21,92.75,94.505,90.69,90.96,4837154.177922
2026-04-22,92.7,93.51,89.5,91.92,3490840.649556
2026-04-23,90.24,90.6,87.19,90.01,3810938.891781
2026-04-24,90.51,93.2099,89.545,92.03,4255142.216662
2026-04-27,91.08,92.0,89.7125,90.83,3882903.819768
2026-04-28,91.27,92.38,90.27,91.14,3053542.450866
2026-04-29,91.685,96.51,91.02,95.76,6815836.055503
2026-04-30,95.5,97.8,93.49,97.15,7949196.132419
2026-05-01,99.0,104.14,98.81,103.44,5825876.319792
2026-05-04,103.55,107.91,103.21,106.63,5501949.505082
2026-05-05,107.015,109.5,105.33,109.1,4238453.25743
2026-05-06,106.744,108.26,104.61,105.13,6183691.00476
2026-05-07,107.65,108.92,105.33,108.36,4750595.896731
2026-05-08,108.25,109.41,105.22,109.21,3771231.248488
2026-05-11,109.305,111.56,105.46,107.12,4110327.952705
2026-05-12,106.36,106.655,102.22,102.96,4890053.703897
2026-05-13,103.48,103.96,101.51,102.43,3479109.51752
2026-05-14,102.58,102.9,97.81,98.23,6261210.796652
2026-05-15,98.6,102.47,98.52,100.16,6579314.750435
2026-05-18,99.5,100.44,98.28,98.87,6000225.697103
2026-05-19,98.21,100.49,97.03,97.39,5873297.318073
2026-05-20,96.46,99.59,95.71,99.42,4969435.877418
2026-05-21,99.0,100.0699,95.36,96.75,9117507.488234
2026-05-22,108.5,113.73,105.09,105.64,9632558.232153
2026-05-26,105.215,105.215,99.66,100.09,5430302.255223
2026-05-27,99.44,101.94,98.75,99.96,3564300.354169
2026-05-28,100.0,102.89,98.935,100.46,3859791.791317
2026-05-29,101.58,102.63,99.37,101.59,5506352.609713
2026-06-01,104.0,114.74,103.36,111.62,8697092.491187
2026-06-02,108.29,113.525,108.11,111.88,4760974.508201
2026-06-03,110.38,110.735,105.6,106.2,3093416.098002
2026-06-04,105.61,106.83,103.29,105.21,3608796.504133
2026-06-05,105.66,105.96,99.57,101.62,3605572.527997
2026-06-08,101.88,102.8,100.165,101.15,3731070.203721
2026-06-09,101.345,101.5,93.32,96.83,4799225.280714
2026-06-10,95.5,96.85,93.7301,93.96,3467964.662741
2026-06-11,92.6,93.73,90.795,92.32,4153973.064968
