# LEADERSHIP TRADE BAR DATA
# trade_id     : 23279
# symbol       : EBAY
# entry_date   : 2026-05-05
# exit_date    : 2026-05-28
# entry_price  : 106.09
# exit_price   : 109.58
# profit_pct   : 0.0328966
# realized_pnl : 34.9
# shares       : 10
# exit_reason  : Stop Loss (Trailed or Moved)
# bar_window   : 30d before entry → 30d after exit
# total_bars   : 48
#
date,open,high,low,close,volume
2026-04-06,94.42,98.47,94.36,97.705,4923104.778762
2026-04-07,97.36,98.04,95.845,96.01,3580235.050257
2026-04-08,98.195,98.5,95.55,96.79,4865711.683865
2026-04-09,97.12,97.25,94.3,95.58,4006933.564325
2026-04-10,95.11,95.8,94.28,95.4,4317766.50788
2026-04-13,95.62,98.2,94.98,98.15,4325574.736095
2026-04-14,98.36,101.33,98.14,100.4,4914361.579215
2026-04-15,99.89,101.25,99.69,100.01,3895283.43044
2026-04-16,99.55,102.9099,99.5,101.96,4316749.522076
2026-04-17,102.7,105.4,102.27,104.65,4916951.711923
2026-04-20,104.0,107.23,103.55,107.13,4652479.3552
2026-04-21,106.71,107.34,103.893,105.4,5662397.911985
2026-04-22,105.88,106.96,105.0,105.63,4263474.967291
2026-04-23,105.41,105.71,102.27,103.4,5084467.954598
2026-04-24,102.53,102.9,97.29,97.94,8288029.705189
2026-04-27,98.29,101.8,97.95,100.29,5928647.209086
2026-04-28,100.99,101.5,99.73,100.36,3884763.653414
2026-04-29,100.37,104.0,100.09,103.79,6814731.010562
2026-04-30,100.07,104.92,96.28,103.48,12220809.651283
2026-05-01,103.0,106.095,100.97,104.07,12485851.091846
2026-05-04,109.14,111.38,108.4835,109.33,20481127.24575
2026-05-05,107.5,108.06,104.595,105.26,7417670.720955
2026-05-06,106.88,108.77,105.36,108.15,7454120.277787
2026-05-07,108.75,109.5,106.215,106.42,5680629.956575
2026-05-08,106.34,108.31,105.23,107.69,4879189.388607
2026-05-11,107.9,108.7,106.8,108.13,6368500.321543
2026-05-12,107.28,110.59,105.5401,110.4,7911219.350497
2026-05-13,109.85,113.73,109.62,113.01,7001802.400609
2026-05-14,112.9,113.49,111.7675,113.24,4632362.299683
2026-05-15,113.18,116.83,112.25,116.13,6141299.599002
2026-05-18,115.61,116.375,113.98,114.43,5017092.295687
2026-05-19,113.8,114.89,112.71,114.24,4964780.91798
2026-05-20,114.53,119.31,113.28,118.96,8293744.035202
2026-05-21,118.11,118.94,116.15,117.13,4756442.856775
2026-05-22,117.57,118.675,115.595,115.75,4202912.185834
2026-05-26,116.1,116.67,114.8625,115.31,3613165.257255
2026-05-27,114.91,115.9299,110.24,110.36,4755026.926574
2026-05-28,110.63,112.31,108.95,112.13,5064201.260382
2026-05-29,111.02,111.54,108.065,109.27,9512736.53307
2026-06-01,109.91,110.83,107.53,110.35,4383683.296165
2026-06-02,110.755,112.0,107.78,108.88,4625181.304456
2026-06-03,108.53,110.0,108.125,108.82,3081882.82495
2026-06-04,109.92,110.64,108.56,109.15,4465933.266441
2026-06-05,109.51,111.75,108.72,109.35,4018351.249978
2026-06-08,109.02,109.64,106.93,108.44,2771196.365258
2026-06-09,108.1,108.979,105.81,108.66,2999378.405628
2026-06-10,107.44,108.8,106.33,106.41,4026459.192908
2026-06-11,107.0,110.065,106.4,109.61,3356914.953185
