# LEADERSHIP TRADE BAR DATA
# trade_id     : 3379
# symbol       : MU
# entry_date   : 2026-01-12
# exit_date    : 2026-01-20
# entry_price  : 345.88
# exit_price   : 364.29
# profit_pct   : 0.0532265
# realized_pnl : NULL
# shares       : 2
# exit_reason  : Stop Loss (Original Stop)
# bar_window   : 30d before entry → 30d after exit
# total_bars   : 45
#
date,open,high,low,close,volume
2025-12-15,247.11,250.11,236.0,237.5,27483624.0
2025-12-16,235.8,239.3999,230.58,232.51,22577259.0
2025-12-17,236.555,237.45,221.69,225.52,41904151.0
2025-12-18,256.53,263.65,245.0,248.55,65006099.0
2025-12-19,251.75,268.38,251.745,265.92,62312003.0
2025-12-22,277.15,279.99,268.29,276.59,30961779.0
2025-12-23,275.92,281.86,272.32,276.27,20767600.0
2025-12-24,278.0,289.3,277.25,286.68,18592532.0
2025-12-26,290.835,290.87,283.42,284.79,17878464.0
2025-12-29,280.325,294.5,278.5,294.37,26642890.0
2025-12-30,294.7,298.83,292.01,292.63,23056391.0
2025-12-31,293.165,293.165,284.18,285.41,17573788.0
2026-01-02,295.125,315.6,294.86,315.42,42604280.0
2026-01-05,325.13,325.53,309.55,312.15,34608591.0
2026-01-06,318.28,344.55,318.06,343.43,48732420.0
2026-01-07,340.71,346.3,337.1801,339.55,32781099.0
2026-01-08,342.9,343.66,321.36,327.02,33897720.0
2026-01-09,332.745,345.8,326.19,345.09,33387505.0
2026-01-12,340.55,348.47,339.32,345.87,23152588.0
2026-01-13,346.27,351.23,335.22,338.13,23881339.0
2026-01-14,334.84,339.1,328.2,333.35,20277196.0
2026-01-15,345.325,347.77,336.27,336.63,25370230.0
2026-01-16,353.1,365.81,352.04,362.75,47901925.0
2026-01-20,364.68,381.5599,361.35,365.0,49744908.0
2026-01-21,372.85,394.2,366.73,389.11,56712817.0
2026-01-22,396.64,397.78,376.92,397.58,39607596.0
2026-01-23,397.16,412.4299,390.74,399.65,35404198.0
2026-01-26,395.5,398.0,384.3,389.09,29193925.0
2026-01-27,404.61,416.4499,399.6,410.24,36212062.0
2026-01-28,422.435,438.94,417.0,435.28,42725675.0
2026-01-29,439.37,444.71,417.7,435.79,42675710.0
2026-01-30,446.465,455.5,407.13,414.88,51022881.0
2026-02-02,412.18,442.43,410.0,437.8,37771237.0
2026-02-03,442.16,442.3,407.53,419.44,42763289.0
2026-02-04,410.59,413.0,363.901,379.4,58074935.0
2026-02-05,369.62,390.93,366.0,382.89,38899485.0
2026-02-06,377.965,396.65,372.8726,394.69,37196006.0
2026-02-09,380.69,391.8099,370.68,383.5,31009558.0
2026-02-10,375.99,382.79,366.06,373.25,35433808.0
2026-02-11,395.385,414.16,386.57,410.34,48474994.0
2026-02-12,422.25,438.77,411.1648,413.97,45639117.0
2026-02-13,405.19,420.88,392.71,411.66,33807586.0
2026-02-17,400.95,413.66,395.3,399.78,28549505.0
2026-02-18,399.5,427.85,394.6,420.95,32306578.0
2026-02-19,415.81,420.315,407.74,417.35,21651264.0
