# LEADERSHIP TRADE BAR DATA
# trade_id     : 6383
# symbol       : KMI
# entry_date   : 2026-01-28
# exit_date    : 2026-02-02
# entry_price  : 29.72
# exit_price   : 29.8
# profit_pct   : 0.00269179
# realized_pnl : NULL
# shares       : 100
# exit_reason  : Stop Loss (Original Stop)
# bar_window   : 30d before entry → 30d after exit
# total_bars   : 45
#
date,open,high,low,close,volume
2025-12-29,27.3,27.515,27.22,27.38,7968671.0
2025-12-30,27.49,27.65,27.415,27.58,8074380.0
2025-12-31,27.54,27.58,27.3648,27.49,9434268.0
2026-01-02,27.49,27.895,27.19,27.71,10257459.0
2026-01-05,27.96,27.96,27.125,27.9,17778797.0
2026-01-06,28.0,28.0,26.59,26.82,19691780.0
2026-01-07,26.89,27.165,26.825,27.0,11124135.0
2026-01-08,27.0,27.47,27.0,27.27,12654877.0
2026-01-09,27.4,27.485,26.93,27.12,13382795.0
2026-01-12,27.14,27.245,26.695,26.92,13562586.0
2026-01-13,27.11,27.505,27.065,27.38,11440859.0
2026-01-14,27.31,27.8,27.31,27.53,13634518.0
2026-01-15,27.49,27.72,27.315,27.41,11802146.0
2026-01-16,27.54,27.98,27.39,27.96,14289641.0
2026-01-20,28.14,28.335,27.735,27.96,17090012.0
2026-01-21,28.33,28.66,28.24,28.58,17547750.0
2026-01-22,29.13,30.1799,28.93,29.69,29210847.0
2026-01-23,29.98,30.0,29.475,29.57,17249034.0
2026-01-26,29.8,29.835,28.99,29.34,15781519.0
2026-01-27,29.23,29.61,29.16,29.59,14938673.0
2026-01-28,29.74,30.31,29.565,30.07,17467304.0
2026-01-29,30.5,30.57,30.005,30.24,18864581.0
2026-01-30,30.36,30.55,29.9,30.49,18926726.0
2026-02-02,29.88,29.895,29.45,29.61,15786020.0
2026-02-03,29.73,30.385,29.6609,30.32,17139003.0
2026-02-04,30.4,30.555,29.54,30.06,18763691.0
2026-02-05,29.96,30.39,29.7,30.33,11523245.0
2026-02-06,30.41,30.59,30.24,30.5,11765947.0
2026-02-09,30.48,31.12,30.46,30.99,11713096.0
2026-02-10,31.22,31.54,30.9,31.01,12322445.0
2026-02-11,31.48,31.6699,31.21,31.45,13391009.0
2026-02-12,31.51,31.99,31.415,31.69,15378410.0
2026-02-13,31.71,32.34,31.67,32.32,14026652.0
2026-02-17,32.33,32.575,31.81,32.13,12213850.0
2026-02-18,32.5,32.56,32.14,32.29,11952677.0
2026-02-19,32.5,32.77,32.38,32.54,14436612.0
2026-02-20,32.6,32.765,32.17,32.73,15816547.0
2026-02-23,32.74,33.24,32.625,32.7,10040949.20893
2026-02-24,32.63,32.72,32.135,32.69,11971376.847045
2026-02-25,32.67,32.8,32.21,32.77,9971917.526235
2026-02-26,32.7,33.24,32.57,33.06,12412736.248874
2026-02-27,33.125,33.3499,32.945,33.27,16322344.981591
2026-03-02,33.75,34.13,33.065,33.89,15539650.147567
2026-03-03,34.0,34.24,33.5,33.96,15675573.476021
2026-03-04,33.74,34.01,33.465,33.92,11345967.432814
