# LEADERSHIP TRADE BAR DATA
# trade_id     : 6569
# symbol       : KNX
# entry_date   : 2026-02-03
# exit_date    : 2026-02-05
# entry_price  : 59.29
# exit_price   : 59.36
# profit_pct   : 0.00118064
# realized_pnl : NULL
# shares       : 20
# exit_reason  : Stop Loss (Original Stop)
# bar_window   : 30d before entry → 30d after exit
# total_bars   : 43
#
date,open,high,low,close,volume
2026-01-05,51.91,54.74,51.795,54.05,3121934.0
2026-01-06,53.64,55.37,53.64,55.04,3986876.0
2026-01-07,55.04,55.48,53.88,55.14,4285200.0
2026-01-08,54.98,57.47,54.905,56.86,5036746.0
2026-01-09,57.5,57.76,56.39,57.18,3780684.0
2026-01-12,56.7,57.0285,56.2,56.75,2270420.0
2026-01-13,56.73,57.625,56.54,57.09,1825146.0
2026-01-14,57.43,57.43,56.03,57.17,2773310.0
2026-01-15,57.39,57.935,56.77,57.51,2457341.0
2026-01-16,57.16,57.872,56.06,56.65,2785948.0
2026-01-20,56.1,56.46,54.93,55.07,3275039.0
2026-01-21,55.0,58.76,55.0,57.93,6659608.0
2026-01-22,58.53,59.89,57.27,59.44,7382233.0
2026-01-23,58.97,59.3,56.86,56.95,5723251.0
2026-01-26,56.94,57.36,56.24,56.27,2948539.0
2026-01-27,56.22,56.42,54.83,54.9,2766218.0
2026-01-28,55.11,56.33,54.98,55.57,2461618.0
2026-01-29,55.65,56.17,54.56,55.82,1942726.0
2026-01-30,54.93,55.46,54.53,55.1,1713116.0
2026-02-02,55.31,59.17,55.22,59.16,6613125.0
2026-02-03,59.01,60.995,59.01,59.75,4442006.0
2026-02-04,60.0,61.28,59.495,60.16,3875554.0
2026-02-05,59.55,60.89,59.015,59.16,3309392.0
2026-02-06,58.88,60.42,58.37,60.17,3265910.0
2026-02-09,60.255,60.29,58.74,59.22,2533176.0
2026-02-10,58.77,60.52,58.77,60.05,2121518.0
2026-02-11,60.05,62.2,60.01,60.26,3191257.0
2026-02-12,61.63,62.015,56.86,59.9,5909022.0
2026-02-13,60.01,60.25,58.535,59.55,2650601.0
2026-02-17,59.45,60.67,59.16,59.88,2184187.0
2026-02-18,59.87,60.44,59.05,59.35,2367876.0
2026-02-19,59.0,59.655,58.74,59.2,3318466.0
2026-02-20,58.97,62.63,58.97,61.7,3823252.0
2026-02-23,61.19,61.255,58.66,59.2,2078017.917895
2026-02-24,59.36,60.43,59.13,60.23,2338173.446747
2026-02-25,60.4,60.57,58.385,58.72,1897215.447164
2026-02-26,59.21,62.2894,58.56,61.7,3721627.525956
2026-02-27,60.75,62.98,60.73,62.92,3471137.397301
2026-03-02,61.85,63.84,60.58,62.25,2282819.797118
2026-03-03,60.72,62.11,58.97,61.61,2179317.186136
2026-03-04,62.68,64.1,62.03,63.5,3120320.471155
2026-03-05,62.55,62.97,60.29,61.01,2659624.220549
2026-03-06,59.52,59.52,56.28,56.87,3520100.918945
