# LEADERSHIP TRADE BAR DATA
# trade_id     : 6612
# symbol       : VLO
# entry_date   : 2026-02-04
# exit_date    : 2026-02-23
# entry_price  : 194
# exit_price   : 195.61
# profit_pct   : 0.00829897
# realized_pnl : NULL
# shares       : 5
# exit_reason  : Stop Loss (Original Stop)
# bar_window   : 30d before entry → 30d after exit
# total_bars   : 56
#
date,open,high,low,close,volume
2026-01-05,179.69,184.98,177.51,180.57,9056477.0
2026-01-06,182.7,184.07,177.248,178.27,5332954.0
2026-01-07,184.36,187.6499,183.07,183.86,7565724.0
2026-01-08,184.11,192.0,181.01,191.32,5961729.0
2026-01-09,191.49,191.845,182.61,185.28,5472876.0
2026-01-12,185.36,185.59,178.34,179.62,3368490.0
2026-01-13,182.32,185.0,179.88,181.74,3100345.0
2026-01-14,183.26,189.95,181.69,186.51,3963037.0
2026-01-15,184.5,186.56,183.2601,184.58,2172178.0
2026-01-16,184.995,186.3,182.85,183.46,2374371.0
2026-01-20,184.55,186.985,183.1,184.73,2689758.0
2026-01-21,187.98,193.3325,187.33,188.19,3130279.0
2026-01-22,187.58,189.31,185.365,186.89,2951476.0
2026-01-23,189.49,194.35,186.87,187.09,2846647.0
2026-01-26,188.67,189.8699,181.53,183.28,3370914.0
2026-01-27,184.73,185.8,181.14,182.91,2359774.0
2026-01-28,184.93,186.77,182.55,184.02,2756661.0
2026-01-29,191.77,194.5,182.0,182.49,6555785.0
2026-01-30,183.155,183.155,177.91,181.43,3295531.0
2026-02-02,178.07,181.5,176.5,180.22,2781348.0
2026-02-03,182.61,193.04,180.96,192.27,5522905.0
2026-02-04,193.28,198.36,193.24,197.41,4467440.0
2026-02-05,192.63,194.8799,190.1101,194.14,2376744.0
2026-02-06,195.88,203.135,194.5,202.68,2871170.0
2026-02-09,202.92,204.14,199.9,201.38,1948958.0
2026-02-10,200.25,201.0,197.75,199.5,2033914.0
2026-02-11,203.17,204.33,200.51,203.92,2918230.0
2026-02-12,204.08,206.77,195.71,196.91,3189466.0
2026-02-13,196.95,201.505,195.99,200.17,2170723.0
2026-02-17,201.35,204.25,195.77,197.34,2203840.0
2026-02-18,199.55,200.4399,196.985,199.46,2052493.0
2026-02-19,200.4,201.23,196.6,199.24,2187636.0
2026-02-20,198.54,201.7878,198.0,200.76,1979139.0
2026-02-23,200.63,204.26,195.7,197.39,2016567.284431
2026-02-24,197.41,199.5,194.5759,199.33,1896747.641532
2026-02-25,200.47,200.68,195.37,199.64,2260935.114148
2026-02-26,198.0,205.99,196.88,203.79,2343372.599397
2026-02-27,203.955,205.03,199.1,204.64,2993523.209857
2026-03-02,214.99,216.18,207.49,214.91,5489283.24464
2026-03-03,218.99,221.945,210.7618,217.71,5393748.003283
2026-03-04,217.25,225.96,216.44,225.6,4221400.497794
2026-03-05,229.5,232.99,223.32,228.03,6142430.936293
2026-03-06,226.97,230.491,221.315,224.63,4337267.502555
2026-03-09,226.37,226.37,214.1107,215.95,6476277.35042
2026-03-10,216.01,220.91,213.83,217.02,3952895.885312
2026-03-11,218.63,231.23,218.63,231.05,3765533.179421
2026-03-12,232.39,240.27,230.84,235.81,4989950.745911
2026-03-13,232.26,235.7,230.3,230.59,4087991.015549
2026-03-16,232.59,234.97,230.0001,232.57,2648708.855511
2026-03-17,234.5,237.8899,232.3487,235.96,2500783.032845
2026-03-18,239.31,242.5598,236.74,238.46,3527511.204237
2026-03-19,241.78,247.73,240.57,242.07,4205508.94251
2026-03-20,243.21,244.74,237.94,239.86,19802359.259037
2026-03-23,232.25,241.445,231.2001,237.39,3904510.077782
2026-03-24,238.74,246.2553,236.3,241.75,3678286.513963
2026-03-25,238.9,243.745,234.27,234.54,4480863.14656
