# LEADERSHIP TRADE BAR DATA
# trade_id     : 6768
# symbol       : FTI
# entry_date   : 2026-02-09
# exit_date    : 2026-02-17
# entry_price  : 59.57
# exit_price   : 60.12
# profit_pct   : 0.00923284
# realized_pnl : NULL
# shares       : 30
# exit_reason  : Stop Loss (Original Stop)
# bar_window   : 30d before entry → 30d after exit
# total_bars   : 47
#
date,open,high,low,close,volume
2026-01-12,49.8,50.275,49.475,49.8,2982178.0
2026-01-13,50.29,51.09,49.95,50.43,2647909.0
2026-01-14,50.99,52.76,50.9,52.24,3647850.0
2026-01-15,51.94,52.66,51.53,52.31,3003288.0
2026-01-16,52.39,52.46,51.89,52.16,2648454.0
2026-01-20,52.0,52.7,51.46,52.2,2482191.0
2026-01-21,52.89,54.33,52.79,54.21,4195520.0
2026-01-22,54.25,54.8,53.31,53.97,2520250.0
2026-01-23,53.98,55.05,53.96,54.26,2176104.0
2026-01-26,54.85,55.24,54.49,54.63,2827680.0
2026-01-27,54.82,55.825,54.76,55.64,4007217.0
2026-01-28,55.83,56.32,54.495,55.25,2821879.0
2026-01-29,56.49,56.93,55.22,55.92,5080316.0
2026-01-30,55.54,56.36,54.84,55.72,2633382.0
2026-02-02,54.49,56.47,54.2,56.45,2421512.0
2026-02-03,56.69,57.35,55.611,57.34,5799856.0
2026-02-04,57.38,57.64,55.01,56.54,5130717.0
2026-02-05,55.65,56.65,54.32,56.25,3413760.0
2026-02-06,56.8,59.4799,56.78,59.06,5123130.0
2026-02-09,58.99,60.36,58.81,59.97,4432046.0
2026-02-10,60.21,60.49,59.02,60.2,2893607.0
2026-02-11,60.87,61.965,60.57,61.82,4701620.0
2026-02-12,61.8,62.669,60.19,61.04,3689081.0
2026-02-13,61.03,62.01,60.48,61.36,2960447.0
2026-02-17,61.39,61.59,59.73,61.27,3694042.0
2026-02-18,62.5,62.98,61.88,62.27,4620459.0
2026-02-19,61.2,62.22,58.67,61.76,7844110.0
2026-02-20,61.47,63.51,61.26,63.49,6198312.0
2026-02-23,63.39,64.99,63.15,64.25,4625314.606823
2026-02-24,64.2,66.33,62.5,65.4,4251861.247656
2026-02-25,65.82,66.41,64.83,66.13,3692346.650242
2026-02-26,65.52,67.305,64.62,67.29,3482407.006872
2026-02-27,67.26,67.55,66.14,66.31,4747327.932992
2026-03-02,66.81,68.29,65.1,67.5,4694542.079303
2026-03-03,65.79,66.6,64.81,66.13,4191714.618379
2026-03-04,66.78,67.4999,64.81,65.27,4688454.453719
2026-03-05,64.97,65.46,63.3101,64.44,4211462.263569
2026-03-06,64.14,64.9399,62.54,63.02,4578413.295387
2026-03-09,62.5,63.48,60.56,63.45,5865103.536182
2026-03-10,63.37,65.56,63.01,64.9,4481107.576885
2026-03-11,63.21,65.52,63.05,64.38,3128812.50733
2026-03-12,63.25,63.72,60.58,62.52,6886192.056457
2026-03-13,63.17,64.31,62.585,63.03,3038623.790647
2026-03-16,63.28,63.82,62.51,63.72,3099673.901098
2026-03-17,63.94,65.96,63.72,65.34,3894575.951356
2026-03-18,65.2,66.4,64.6808,65.13,4396963.887155
2026-03-19,64.8,67.92,64.8,66.22,4962924.160096
