# LEADERSHIP TRADE BAR DATA
# trade_id     : 8051
# symbol       : FE
# entry_date   : 2026-02-11
# exit_date    : 2026-03-19
# entry_price  : 47.95
# exit_price   : 50.24
# profit_pct   : 0.0477581
# realized_pnl : 68.7
# shares       : 30
# exit_reason  : Stop Loss (Original Stop)
# bar_window   : 30d before entry → 30d after exit
# total_bars   : 67
#
date,open,high,low,close,volume
2026-01-12,44.53,44.955,44.49,44.73,3102545.0
2026-01-13,44.68,45.31,44.63,45.3,3572504.0
2026-01-14,45.31,46.235,45.285,46.15,6238528.0
2026-01-15,46.25,46.775,46.1,46.57,4619793.0
2026-01-16,46.58,47.375,46.435,47.34,8687637.0
2026-01-20,46.99,47.435,46.775,47.26,5361001.0
2026-01-21,47.58,47.61,46.77,47.37,4844168.0
2026-01-22,47.35,47.395,46.43,47.05,4976980.0
2026-01-23,47.15,47.15,46.07,46.56,4172088.0
2026-01-26,46.86,47.14,46.465,46.77,4067346.0
2026-01-27,47.045,47.56,46.55,47.52,4708688.0
2026-01-28,47.38,47.675,47.145,47.41,3726228.0
2026-01-29,47.57,47.94,46.9816,47.33,4073213.0
2026-01-30,47.09,47.4097,46.8,47.34,5063699.0
2026-02-02,47.37,47.7,46.93,46.99,3328756.0
2026-02-03,47.1,47.835,46.6,46.89,8311098.0
2026-02-04,47.03,47.2,46.1,46.4,10749712.0
2026-02-05,46.59,47.05,46.22,46.99,5057246.0
2026-02-06,46.7,47.24,46.305,46.63,3239987.0
2026-02-09,46.5,47.015,46.34,46.82,4198144.0
2026-02-10,47.02,47.9,46.705,47.66,5641346.0
2026-02-11,47.66,48.1,47.49,47.93,4586044.0
2026-02-12,48.15,49.23,48.1,48.84,6927743.0
2026-02-13,48.81,50.14,48.715,50.1,6336437.0
2026-02-17,50.14,50.44,49.26,49.35,6094473.0
2026-02-18,49.44,50.09,48.765,48.94,8848261.0
2026-02-19,49.37,49.945,49.09,49.57,5147846.0
2026-02-20,50.06,50.225,49.5187,50.2,5267756.0
2026-02-23,50.23,50.83,50.09,50.44,4443254.698793
2026-02-24,50.49,50.72,49.64,50.64,4774540.8084
2026-02-25,50.43,50.8,49.69,50.64,3547642.417799
2026-02-26,50.77,50.99,50.585,50.64,2510000.334276
2026-02-27,50.85,51.34,50.6,51.16,4262473.593117
2026-03-02,51.0,51.39,50.87,50.98,3391420.650951
2026-03-03,50.8,50.985,49.76,50.57,4189443.762836
2026-03-04,50.57,51.12,50.17,50.8,3821072.191064
2026-03-05,50.35,50.575,49.765,50.32,5418790.761417
2026-03-06,50.03,51.005,49.74,50.84,4006017.241923
2026-03-09,50.96,51.09,50.17,50.96,4522862.547684
2026-03-10,50.88,51.155,50.55,50.66,2825236.363847
2026-03-11,50.54,50.74,50.245,50.65,4527277.425466
2026-03-12,50.63,51.435,50.525,50.82,3324968.125411
2026-03-13,51.18,51.75,50.96,51.16,5545294.71046
2026-03-16,51.75,51.93,51.47,51.76,4124073.420371
2026-03-17,51.95,52.015,51.135,51.21,4589649.300738
2026-03-18,51.03,51.2,50.65,50.66,3267764.281307
2026-03-19,50.7,50.98,49.32,49.69,7457317.130866
2026-03-20,49.75,49.97,48.2,48.54,8570263.679963
2026-03-23,48.89,49.49,48.53,48.77,4139902.584095
2026-03-24,48.46,49.57,48.46,49.16,3084443.634082
2026-03-25,49.61,49.965,49.33,49.52,4943784.493977
2026-03-26,49.36,50.3,49.18,50.03,4360559.16472
2026-03-27,50.2,52.29,49.87,50.03,3857615.243833
2026-03-30,50.77,51.065,50.25,50.42,3294419.111128
2026-03-31,50.5,50.75,50.01,50.66,4003116.004014
2026-04-01,50.48,51.05,50.41,50.96,4242386.708364
2026-04-02,51.1,51.52,50.83,51.31,2981090.107009
2026-04-06,51.14,51.41,50.855,51.02,2245704.750553
2026-04-07,51.09,51.31,50.82,51.0,3831603.519982
2026-04-08,51.36,51.4,50.46,51.4,2878305.292016
2026-04-09,51.3,52.34,51.255,51.91,3379202.644017
2026-04-10,51.83,52.0,51.35,51.43,3047363.954904
2026-04-13,51.51,51.51,50.695,51.05,3174702.095964
2026-04-14,50.96,51.285,50.59,51.04,4311717.507479
2026-04-15,50.88,51.08,50.465,50.55,5098601.811035
2026-04-16,50.45,50.75,49.82,50.58,4527967.227486
2026-04-17,50.5,50.5,49.39,50.1,5109565.811412
