# LEADERSHIP TRADE BAR DATA
# trade_id     : 862
# symbol       : MRUS
# entry_date   : 2025-11-07
# exit_date    : 2025-11-11
# entry_price  : 95.37
# exit_price   : 95.42
# profit_pct   : 0.00052427
# realized_pnl : NULL
# shares       : 20
# exit_reason  : Stop Loss (Original Stop)
# bar_window   : 30d before entry → 30d after exit
# total_bars   : 46
#
date,open,high,low,close,volume
2025-10-08,94.37,94.455,94.32,94.38,3562444.0
2025-10-09,94.4,94.63,94.29,94.58,2875138.0
2025-10-10,94.48,94.63,94.33,94.37,3443285.0
2025-10-13,94.45,95.02,94.3801,94.85,2305057.0
2025-10-14,94.77,94.94,94.56,94.83,1267204.0
2025-10-15,94.9,94.96,94.82,94.95,2414548.0
2025-10-16,94.94,94.97,94.75,94.88,2808002.0
2025-10-17,94.9,95.04,94.7,94.89,2854732.0
2025-10-20,94.8,94.84,94.44,94.44,3843076.0
2025-10-21,94.51,94.765,94.41,94.6,1518237.0
2025-10-22,94.7,94.75,94.38,94.4,1965634.0
2025-10-23,94.47,94.58,94.42,94.42,1179319.0
2025-10-24,94.48,95.06,94.4,94.88,2501492.0
2025-10-27,94.87,94.92,94.59,94.6,1503744.0
2025-10-28,94.62,94.96,94.585,94.9,2027282.0
2025-10-29,95.3,95.3,94.74,94.81,1134203.0
2025-10-30,94.86,95.06,94.85,95.06,1106594.0
2025-10-31,95.02,95.115,94.77,94.86,1084925.0
2025-11-03,94.82,94.9,94.75,94.78,574922.0
2025-11-04,94.78,95.08,94.76,95.04,626572.0
2025-11-05,94.92,95.2,94.92,95.18,500101.0
2025-11-06,95.02,95.35,95.02,95.16,393859.0
2025-11-07,95.15,95.4,95.07,95.23,1303799.0
2025-11-10,95.41,95.44,95.145,95.42,1666251.0
2025-11-11,95.33,95.54,95.21,95.48,1770901.0
2025-11-12,95.7,96.085,95.59,96.04,2076082.0
2025-11-13,95.87,96.2,95.63,96.08,759365.0
2025-11-14,95.86,96.28,95.8,95.95,1124366.0
2025-11-17,96.09,96.17,95.65,95.88,1544559.0
2025-11-18,95.77,96.045,95.77,95.8,1890486.0
2025-11-19,95.8,96.06,95.72,96.04,1844411.0
2025-11-20,96.05,96.05,95.63,95.98,2210037.0
2025-11-21,95.9,95.96,95.69,95.76,1686802.0
2025-11-24,95.8,96.02,95.8,95.95,1164334.0
2025-11-25,95.9,96.18,95.9,96.02,1681304.0
2025-11-26,96.02,96.1199,95.96,96.09,871524.0
2025-11-28,96.1,96.19,96.01,96.14,394310.0
2025-12-01,96.14,96.17,95.88,95.94,1508610.0
2025-12-02,96.0,96.08,95.83,95.99,1485765.0
2025-12-03,96.06,96.16,96.01,96.12,1550795.0
2025-12-04,96.11,96.27,96.01,96.22,1422456.0
2025-12-05,96.2,96.25,96.09,96.14,701439.0
2025-12-08,96.2,96.34,96.11,96.27,588779.0
2025-12-09,96.25,96.42,96.25,96.36,1370506.0
2025-12-10,96.65,96.83,96.65,96.77,3129215.0
2025-12-11,96.77,96.79,96.6,96.63,1099521.0
