# LEADERSHIP TRADE BAR DATA
# trade_id     : 9409
# symbol       : TJX
# entry_date   : 2026-02-18
# exit_date    : 2026-02-26
# entry_price  : 157.1
# exit_price   : 157.82
# profit_pct   : 0.00458307
# realized_pnl : NULL
# shares       : 10
# exit_reason  : Exit Signal
# bar_window   : 30d before entry → 30d after exit
# total_bars   : 48
#
date,open,high,low,close,volume
2026-01-20,157.2,157.6,155.3491,156.08,5887936.0
2026-01-21,156.34,157.0,155.01,155.85,5511881.0
2026-01-22,155.94,156.69,152.74,153.42,5808313.0
2026-01-23,153.05,153.73,152.465,153.24,5651590.0
2026-01-26,152.73,153.79,148.892,150.08,8152486.0
2026-01-27,150.5,150.91,147.55,148.01,7094004.0
2026-01-28,147.38,148.225,146.75,147.79,6424549.0
2026-01-29,147.74,148.83,145.83,147.47,5950639.0
2026-01-30,147.71,149.94,147.09,149.81,6016035.0
2026-02-02,150.3,150.49,148.75,150.17,8782199.0
2026-02-03,149.69,152.61,149.51,152.07,5637588.0
2026-02-04,152.88,155.19,152.625,153.94,6879446.0
2026-02-05,154.54,156.39,153.59,155.4,7474697.0
2026-02-06,155.38,156.34,154.725,155.86,4708111.0
2026-02-09,155.4,156.33,154.02,156.24,4337870.0
2026-02-10,156.61,157.16,153.06,153.29,4519524.0
2026-02-11,153.18,154.26,150.265,150.75,5469366.0
2026-02-12,153.105,155.59,151.98,154.18,6172480.0
2026-02-13,153.92,155.8198,152.67,154.46,3754731.0
2026-02-17,155.36,156.99,153.41,156.97,5507039.0
2026-02-18,156.34,157.32,155.96,157.23,2944263.0
2026-02-19,156.97,157.32,155.27,156.51,3933255.0
2026-02-20,156.06,158.5,155.66,158.23,5643404.0
2026-02-23,159.0,160.46,155.75,157.69,5709973.545102
2026-02-24,158.07,158.95,157.02,157.66,5280865.282352
2026-02-25,157.55,162.6799,154.8,155.82,8041999.80704
2026-02-26,157.82,159.33,156.415,158.69,5987731.970867
2026-02-27,158.43,161.66,158.395,161.66,7099912.067919
2026-03-02,160.22,161.5,158.75,159.94,4924721.202571
2026-03-03,158.66,159.72,155.75,159.71,5060111.446582
2026-03-04,160.01,161.9,158.2,161.73,4741352.573721
2026-03-05,160.27,161.2,158.965,160.93,6536315.540519
2026-03-06,159.68,160.11,157.62,159.33,5923379.964627
2026-03-09,158.48,158.925,155.11,158.14,4620642.420912
2026-03-10,157.27,162.59,156.38,159.53,5804666.364282
2026-03-11,158.61,158.995,157.15,157.88,3977997.572516
2026-03-12,157.25,158.18,155.69,155.79,3664601.536539
2026-03-13,156.46,157.8699,155.03,155.43,3123589.243956
2026-03-16,156.58,157.78,155.325,156.02,4384767.564496
2026-03-17,156.6,156.769,154.39,155.38,3861631.537335
2026-03-18,154.72,155.75,152.75,152.87,3103525.296767
2026-03-19,152.94,155.59,152.18,154.68,3889260.281552
2026-03-20,154.27,156.68,154.27,154.98,7320702.820781
2026-03-23,157.3,157.815,155.6,156.5,4577134.968226
2026-03-24,156.73,159.455,155.47,158.38,4380270.992348
2026-03-25,157.55,159.91,156.77,159.74,3606823.66444
2026-03-26,159.58,159.93,157.025,157.57,4156796.379567
2026-03-27,157.31,158.0,154.46,155.12,4319108.473755
