# LEADERSHIP TRADE BAR DATA
# trade_id     : 940
# symbol       : EXPD
# entry_date   : 2025-11-12
# exit_date    : 2025-12-16
# entry_price  : 141.8
# exit_price   : 150.84
# profit_pct   : 0.0637518
# realized_pnl : NULL
# shares       : 10
# exit_reason  : Stop Loss (Original Stop)
# bar_window   : 30d before entry → 30d after exit
# total_bars   : 66
#
date,open,high,low,close,volume
2025-10-13,113.42,114.49,113.06,113.97,920145.0
2025-10-14,113.89,118.0775,113.17,117.39,1511294.0
2025-10-15,117.68,118.14,116.77,117.35,1085024.0
2025-10-16,118.99,119.49,116.87,118.25,881999.0
2025-10-17,118.14,120.2483,117.9701,119.92,755081.0
2025-10-20,120.12,121.3,120.04,120.44,633058.0
2025-10-21,120.27,121.92,120.17,121.03,523758.0
2025-10-22,120.46,121.39,118.48,118.61,1032080.0
2025-10-23,117.72,118.96,116.84,118.47,770197.0
2025-10-24,119.27,119.27,117.66,117.81,604361.0
2025-10-27,118.73,119.77,117.69,119.65,931980.0
2025-10-28,120.33,121.27,119.21,119.4,881675.0
2025-10-29,119.48,119.78,117.45,117.57,873497.0
2025-10-30,119.1,121.7,118.575,120.19,1225440.0
2025-10-31,119.35,122.79,118.94,121.9,1580691.0
2025-11-03,121.73,124.09,120.94,122.46,2459577.0
2025-11-04,129.89,136.18,128.1,135.73,4911854.0
2025-11-05,134.17,140.72,133.27,137.92,3413460.0
2025-11-06,138.0,138.22,133.9575,134.54,2076420.0
2025-11-07,134.99,137.48,134.16,137.43,1673047.0
2025-11-10,137.14,141.785,136.88,140.44,2034528.0
2025-11-11,140.4,140.615,137.73,139.51,1308952.0
2025-11-12,140.0,142.09,139.0,140.68,1608391.0
2025-11-13,140.15,140.54,137.53,138.44,1451870.0
2025-11-14,138.31,140.0725,137.3,138.42,1036484.0
2025-11-17,140.46,142.75,139.09,142.23,2676858.0
2025-11-18,141.59,143.02,138.735,139.91,1260892.0
2025-11-19,140.43,140.95,138.92,139.13,1138757.0
2025-11-20,140.51,141.08,138.22,138.3,983715.0
2025-11-21,139.5,143.83,139.155,143.21,1691704.0
2025-11-24,143.46,146.265,142.87,144.26,2414927.0
2025-11-25,145.02,148.38,145.0,147.58,1379646.0
2025-11-26,146.73,147.94,146.5,147.36,1318531.0
2025-11-28,147.5,147.5,146.66,146.9,507899.0
2025-12-01,145.48,147.8725,145.08,146.45,1177695.0
2025-12-02,146.84,147.095,144.93,146.48,887597.0
2025-12-03,146.55,148.66,145.57,148.09,1133812.0
2025-12-04,147.95,151.26,147.95,150.5,1885836.0
2025-12-05,150.3,151.67,149.24,151.47,1599108.0
2025-12-08,150.83,150.895,147.6,148.05,1492822.0
2025-12-09,148.11,149.145,147.62,147.71,849959.0
2025-12-10,148.0,151.37,147.36,151.35,1770673.0
2025-12-11,151.0,153.84,149.585,153.02,1370851.0
2025-12-12,153.65,154.475,151.18,151.76,1316769.0
2025-12-15,151.88,155.04,151.1,151.57,1210584.0
2025-12-16,151.84,154.25,149.54,149.98,1041849.0
2025-12-17,149.46,150.73,149.0,149.75,1689204.0
2025-12-18,150.93,151.83,149.69,150.72,1393575.0
2025-12-19,150.0,153.32,149.92,152.87,3041094.0
2025-12-22,152.52,153.47,151.555,153.02,1191909.0
2025-12-23,153.02,153.35,151.49,151.65,915747.0
2025-12-24,151.24,152.11,150.89,151.56,458009.0
2025-12-26,151.25,152.43,151.22,152.24,459592.0
2025-12-29,152.4,152.66,150.89,151.06,789445.0
2025-12-30,150.5,150.87,149.69,150.12,666549.0
2025-12-31,150.08,150.59,148.97,149.01,683074.0
2026-01-02,149.14,151.97,148.76,151.86,845179.0
2026-01-05,151.33,154.695,150.6401,154.4,1325111.0
2026-01-06,154.71,157.89,154.71,157.5,1010180.0
2026-01-07,156.92,157.13,154.28,156.9,1440344.0
2026-01-08,156.13,158.9086,155.940299,158.15,1200480.0
2026-01-09,159.48,160.19,157.11,158.89,1394887.0
2026-01-12,158.23,161.4,157.5,161.12,1081868.0
2026-01-13,161.26,161.83,160.17,160.69,965317.0
2026-01-14,160.7,162.45,159.655,162.22,1184467.0
2026-01-15,163.73,164.48,161.84,163.76,1953183.0
