# LEADERSHIP TRADE BAR DATA
# trade_id     : 9410
# symbol       : MNST
# entry_date   : 2026-02-18
# exit_date    : 2026-03-02
# entry_price  : 83.05
# exit_price   : 84.72
# profit_pct   : 0.0201084
# realized_pnl : NULL
# shares       : NULL
# exit_reason  : Take Profit
# bar_window   : 30d before entry → 30d after exit
# total_bars   : 51
#
date,open,high,low,close,volume
2026-01-20,78.39,81.62,77.53,81.47,7338748.0
2026-01-21,81.32,81.76,79.885,81.6,8643477.0
2026-01-22,81.6,81.8107,80.605,80.89,5713829.0
2026-01-23,80.64,82.19,80.3,82.0,4393816.0
2026-01-26,82.695,83.24,81.075,81.16,5944046.0
2026-01-27,81.16,81.585,80.73,81.41,4494752.0
2026-01-28,81.26,81.63,80.2515,80.92,4329249.0
2026-01-29,80.92,81.46,79.96,80.04,3942241.0
2026-01-30,79.975,80.84,79.53,80.76,6093673.0
2026-02-02,80.995,81.2892,79.91,81.1,9801943.0
2026-02-03,81.32,82.4,81.07,81.97,11447302.0
2026-02-04,82.44,82.95,80.77,81.44,11263163.0
2026-02-05,82.25,82.68,81.51,81.75,6127603.0
2026-02-06,81.94,82.6,81.7501,82.54,4294630.0
2026-02-09,82.49,82.64,80.35,80.9,6099407.0
2026-02-10,80.35,80.69,79.77,80.17,8347690.0
2026-02-11,80.27,81.17,79.93,80.79,5165398.0
2026-02-12,81.03,82.095,80.675,81.17,4592523.0
2026-02-13,80.71,82.32,80.52,81.48,5175998.0
2026-02-17,81.83,82.93,81.492,82.9,7758095.0
2026-02-18,82.81,83.91,82.36,83.18,7181343.0
2026-02-19,82.68,83.46,81.615,81.99,5740033.0
2026-02-20,82.42,83.98,81.855,83.76,6603170.0
2026-02-23,83.31,84.8801,83.31,84.69,6208717.118083
2026-02-24,84.58,85.59,84.26,85.54,5037958.622421
2026-02-25,84.93,85.77,84.405,85.41,6860736.182252
2026-02-26,85.76,86.8,85.41,86.66,9480719.067408
2026-02-27,85.75,87.38,84.69,85.3,13561558.812829
2026-03-02,84.635,85.1,81.01,81.06,7314731.071654
2026-03-03,80.5,80.805,78.34,78.99,7832109.281776
2026-03-04,79.24,79.47,78.07,78.61,6062316.849059
2026-03-05,78.05,78.3262,76.51,76.7,6935007.060904
2026-03-06,75.902,76.37,75.3,75.61,5860646.120454
2026-03-09,74.96,75.74,73.35,75.725,8605794.493564
2026-03-10,75.68,77.625,75.28,76.7,5994096.272599
2026-03-11,76.31,77.72,75.47,77.52,6218191.43187
2026-03-12,76.7,78.26,76.35,76.99,6002773.498883
2026-03-13,77.29,77.93,76.62,77.11,4004509.789771
2026-03-16,77.93,78.58,76.9116,77.05,4291066.152611
2026-03-17,78.137,78.137,76.87,77.59,3837147.286367
2026-03-18,77.365,77.435,73.775,74.09,6848326.204898
2026-03-19,74.23,74.91,73.605,73.74,4531863.352841
2026-03-20,73.47,74.49,73.25,73.69,10527848.621876
2026-03-23,75.595,75.595,73.75,73.96,4908657.889636
2026-03-24,73.78,74.55,72.88,73.0,4302669.186654
2026-03-25,73.18,73.99,72.22,73.21,3884241.395859
2026-03-26,73.21,73.335,71.82,71.98,4589765.581794
2026-03-27,72.1,72.825,71.62,71.83,4020544.540774
2026-03-30,72.05,72.165,70.975,71.32,5234545.218151
2026-03-31,71.605,72.61,70.86,72.46,8043591.267812
2026-04-01,72.42,73.2,71.865,72.77,4253320.484764
