# LEADERSHIP TRADE BAR DATA
# trade_id     : 9448
# symbol       : OVV
# entry_date   : 2026-02-19
# exit_date    : 2026-02-25
# entry_price  : 49.87
# exit_price   : 50.13
# profit_pct   : 0.00521356
# realized_pnl : NULL
# shares       : 30
# exit_reason  : Exit Signal
# bar_window   : 30d before entry → 30d after exit
# total_bars   : 48
#
date,open,high,low,close,volume
2026-01-20,40.0,40.51,39.32,39.56,2928505.0
2026-01-21,40.44,41.71,39.97,40.8,4497036.0
2026-01-22,40.58,41.11,40.43,40.72,3741264.0
2026-01-23,41.65,42.0,40.78,41.02,4401155.0
2026-01-26,41.27,41.41,40.04,41.36,4836356.0
2026-01-27,41.63,42.85,41.545,42.77,4237505.0
2026-01-28,43.11,43.41,42.37,42.76,3746633.0
2026-01-29,43.725,44.415,43.16,43.47,6178711.0
2026-01-30,43.36,44.438,42.55,43.47,4544448.0
2026-02-02,41.7,42.86,41.65,42.48,6310933.0
2026-02-03,43.12,44.49,42.65,44.11,14168171.0
2026-02-04,44.395,46.235,43.91,46.11,6738813.0
2026-02-05,45.48,45.705,44.07,44.88,4847351.0
2026-02-06,45.17,46.73,44.99,46.53,3995000.0
2026-02-09,46.27,47.305,46.07,47.01,5088702.0
2026-02-10,47.04,47.17,46.445,46.63,3228527.0
2026-02-11,47.54,48.17,46.94,47.8,3804086.0
2026-02-12,47.36,47.85,44.66,45.97,6781252.0
2026-02-13,45.75,47.31,45.75,46.93,4235195.0
2026-02-17,47.16,47.5,45.08,46.08,4579898.0
2026-02-18,48.01,49.225,47.16,49.08,7835312.0
2026-02-19,49.49,51.23,49.49,50.67,6992970.0
2026-02-20,50.63,50.9,49.675,50.58,3877440.0
2026-02-23,50.55,50.865,50.04,50.83,5431535.036928
2026-02-24,51.35,51.6,49.35,50.09,9320200.303166
2026-02-25,50.2,50.51,48.61,49.33,4889735.421967
2026-02-26,48.49,50.185,47.95,49.44,5880959.532223
2026-02-27,49.99,50.7597,49.07,50.59,3863333.906212
2026-03-02,52.39,52.39,50.7019,52.16,6153614.500387
2026-03-03,52.8,53.21,50.895,51.79,5004774.223771
2026-03-04,51.07,51.85,50.44,51.72,4222493.385414
2026-03-05,52.16,53.15,52.035,52.63,4384085.95549
2026-03-06,53.0,53.31,51.83,52.25,4820284.82491
2026-03-09,52.66,54.395,52.66,53.72,9720068.732036
2026-03-10,52.9,54.29,52.47,52.9,6613525.03422
2026-03-11,52.91,55.14,52.91,55.06,4934911.374079
2026-03-12,55.15,55.85,54.81,54.93,4861865.876525
2026-03-13,54.42,55.48,54.14,55.33,3767526.643976
2026-03-16,54.83,55.69,54.17,54.84,3451822.709731
2026-03-17,55.24,56.18,54.98,55.44,3533116.497485
2026-03-18,55.85,56.38,55.23,56.03,5020131.634735
2026-03-19,56.38,57.65,56.18,56.98,4172437.504409
2026-03-20,57.44,58.0,56.71,56.97,17590234.53506
2026-03-23,55.74,57.71,55.56,56.94,5136752.939854
2026-03-24,57.83,59.44,57.65,58.97,4013633.547836
2026-03-25,58.09,60.15,57.64,60.14,3652489.763835
2026-03-26,60.5,61.94,60.45,61.26,3127645.858467
2026-03-27,61.79,62.6,61.2,62.08,3912781.412376
