# LEADERSHIP TRADE BAR DATA
# trade_id     : 9481
# symbol       : LITE
# entry_date   : 2026-02-20
# exit_date    : 2026-03-05
# entry_price  : 636.12
# exit_price   : 636.16
# profit_pct   : 0.00006288
# realized_pnl : 0.08
# shares       : 2
# exit_reason  : Stop Loss (Original Stop)
# bar_window   : 30d before entry → 30d after exit
# total_bars   : 51
#
date,open,high,low,close,volume
2026-01-21,373.6,376.54,350.01,362.44,4969377.0
2026-01-22,375.865,391.46,350.0,354.49,4465606.0
2026-01-23,354.49,354.9675,334.0,339.19,3469371.0
2026-01-26,337.75,350.68,327.29,332.45,2726812.0
2026-01-27,341.87,373.9999,340.0,370.66,3618616.0
2026-01-28,375.915,394.88,373.57,385.0,4356802.0
2026-01-29,388.0,398.16,364.19,381.44,4006603.0
2026-01-30,406.25,448.0,384.33,391.84,7098764.0
2026-02-02,405.49,445.0,404.99,423.42,5799104.0
2026-02-03,451.74,464.0,424.52,435.1,8109436.0
2026-02-04,473.12,504.58,426.05,465.54,12144862.0
2026-02-05,436.22,507.55,425.01,504.42,8673040.0
2026-02-06,540.0,558.38,513.28,551.99,6735517.0
2026-02-09,556.72,599.5,555.35,577.15,5903753.0
2026-02-10,548.22,574.69,530.2901,561.13,4787725.0
2026-02-11,563.245,597.0,545.88,574.11,4011219.0
2026-02-12,593.35,603.83,568.2,583.46,4605731.0
2026-02-13,581.54,593.4,539.18,562.74,4973044.0
2026-02-17,538.0,616.52,528.01,600.42,5625048.0
2026-02-18,602.09,610.3,587.0,594.26,2995103.0
2026-02-19,592.565,636.68,578.3,635.64,4206198.0
2026-02-20,638.0,678.0,636.0,667.77,4289469.0
2026-02-23,664.05,688.07,652.21,674.73,4492980.009609
2026-02-24,680.01,698.5,662.0,688.27,3573393.975656
2026-02-25,713.71,765.0,712.7301,723.39,4667742.352897
2026-02-26,717.285,728.2,662.0,677.0,5468045.017558
2026-02-27,679.95,720.0999,672.01,700.91,8912170.446524
2026-03-02,742.895,783.8,714.0,783.25,6888660.550348
2026-03-03,727.05,732.0,681.1,694.43,7208705.934539
2026-03-04,726.0,736.0,643.18,680.8,7905307.038684
2026-03-05,644.715,681.75,614.13,650.82,6743769.207282
2026-03-06,610.445,642.0,548.2397,558.44,8754336.543328
2026-03-09,578.0,641.02,573.6604,640.69,7822740.814267
2026-03-10,679.01,715.73,669.0,672.0,7128976.048559
2026-03-11,651.07,675.58,637.0101,672.0,4080641.336283
2026-03-12,643.545,664.995,616.04,616.09,4922452.718573
2026-03-13,634.81,639.56,611.08,622.5,3849678.376644
2026-03-16,656.0,672.9899,607.27,624.84,5036596.402575
2026-03-17,597.0,669.9,573.73,649.56,9003350.373958
2026-03-18,709.15,743.86,696.0,700.81,9636401.146638
2026-03-19,678.985,775.0,670.0,772.13,7567023.206466
2026-03-20,785.49,787.4499,680.66,706.35,22867753.236485
2026-03-23,742.745,766.0,710.03,728.95,7352941.616493
2026-03-24,728.85,803.58,728.85,801.99,6993697.97582
2026-03-25,795.5,808.8,763.11,777.17,4969358.130791
2026-03-26,744.85,753.66,687.5801,688.8,6305625.524229
2026-03-27,706.41,732.83,692.3301,702.73,5275136.382844
2026-03-30,725.8,735.0,642.37,654.79,7436360.305691
2026-03-31,679.0,703.43041,649.5001,702.76,6115881.704583
2026-04-01,734.875,784.8938,732.0,764.65,6911873.491571
2026-04-02,708.585,827.56,707.835,826.88,7886158.598533
