# LEADERSHIP TRADE BAR DATA
# trade_id     : 9799
# symbol       : AM
# entry_date   : 2026-02-23
# exit_date    : 2026-04-01
# entry_price  : 21.72
# exit_price   : 22.38
# profit_pct   : 0.0303867
# realized_pnl : 33
# shares       : 50
# exit_reason  : Stop Loss (Original Stop)
# bar_window   : 30d before entry → 30d after exit
# total_bars   : 68
#
date,open,high,low,close,volume
2026-01-26,18.95,19.0,18.61,18.69,1930539.0
2026-01-27,18.6,18.91,18.38,18.76,2225893.0
2026-01-28,18.58,18.75,18.455,18.64,3077415.0
2026-01-29,18.81,18.94,18.65,18.72,2611515.0
2026-01-30,18.75,18.84,18.48,18.82,2299224.0
2026-02-02,18.59,18.59,18.315,18.5,2844178.0
2026-02-03,18.56,18.81,18.42,18.64,2540049.0
2026-02-04,18.59,18.83,18.48,18.76,2095288.0
2026-02-05,18.645,18.905,18.585,18.9,2701197.0
2026-02-06,19.0,19.43,18.94,19.18,3685628.0
2026-02-09,19.13,19.75,19.13,19.74,3147295.0
2026-02-10,19.75,20.2,19.705,19.9,5604649.0
2026-02-11,20.0,20.54,19.93,20.44,4718015.0
2026-02-12,20.99,21.0,20.38,20.91,5431683.0
2026-02-13,20.98,21.66,20.88,21.45,4456801.0
2026-02-17,21.45,21.51,21.154,21.45,3894716.0
2026-02-18,21.58,21.6,20.93,20.97,3153921.0
2026-02-19,21.16,21.295,20.82,21.1,3147806.0
2026-02-20,21.19,21.63,21.015,21.63,4056212.0
2026-02-23,21.51,21.99,21.48,21.7,2238436.480446
2026-02-24,21.76,22.135,21.51,22.12,2818219.86692
2026-02-25,22.07,22.33,21.815,22.28,3254584.674058
2026-02-26,22.17,22.39,22.02,22.36,3343926.610581
2026-02-27,22.48,22.57,22.195,22.48,4402965.891001
2026-03-02,22.66,23.0,22.26,22.91,2465956.066219
2026-03-03,22.86,23.0,22.43,22.82,2296406.193585
2026-03-04,22.7,22.885,22.43,22.77,1828026.84741
2026-03-05,22.69,23.1,22.65,22.86,2847666.61834
2026-03-06,22.94,23.05,22.68,22.97,1781415.254783
2026-03-09,22.99,23.02,22.665,22.75,2275551.128704
2026-03-10,22.65,22.875,22.5,22.59,2419176.425971
2026-03-11,22.51,23.13,22.38,23.12,2727261.096036
2026-03-12,22.89,23.345,22.85,22.85,3074239.581016
2026-03-13,23.0,23.31,22.89,23.14,2616815.792342
2026-03-16,23.24,23.24,22.85,22.88,2826329.326265
2026-03-17,23.18,23.35,22.885,22.94,2433909.455055
2026-03-18,22.91,23.01,22.705,22.74,1759957.826278
2026-03-19,22.87,23.3,22.735,23.07,2392104.900328
2026-03-20,23.1,23.17,22.63,22.65,6467579.443624
2026-03-23,22.58,23.225,22.45,22.96,2876436.029881
2026-03-24,22.72,23.585,22.72,23.28,2657247.817289
2026-03-25,23.29,23.625,23.175,23.6,2256637.729089
2026-03-26,23.62,23.835,23.43,23.55,3026130.940162
2026-03-27,23.57,23.74,23.15,23.19,2844643.01463
2026-03-30,23.39,23.47,22.96,23.12,2498345.261215
2026-03-31,23.23,23.27,22.59,22.8,4206463.566715
2026-04-01,22.5,22.69,22.23,22.55,2408998.496619
2026-04-02,22.76,23.0,22.55,22.75,1527120.521537
2026-04-06,22.57,22.88,22.53,22.6,1624070.379445
2026-04-07,22.59,23.03,22.52,22.81,1771506.366669
2026-04-08,22.17,22.535,22.05,22.47,2797435.073763
2026-04-09,22.43,22.98,22.16,22.21,2112403.114421
2026-04-10,22.12,22.24,21.845,22.03,1241878.266013
2026-04-13,22.28,22.28,21.345,21.63,2883140.538145
2026-04-14,21.81,21.81,21.04,21.25,5351357.780111
2026-04-15,21.15,21.39,21.06,21.26,2088765.76756
2026-04-16,21.32,21.45,21.07,21.24,2256532.465129
2026-04-17,20.88,21.305,20.8209,21.29,2810605.528705
2026-04-20,21.16,21.28,20.83,20.88,2438413.741819
2026-04-21,20.96,21.09,20.395,20.61,2626935.132078
2026-04-22,21.17,21.26,20.955,21.24,4661644.197567
2026-04-23,21.44,21.5,21.21,21.38,1747310.875472
2026-04-24,21.38,21.465,21.09,21.37,2129657.782426
2026-04-27,21.45,21.71,21.31,21.58,2700373.701697
2026-04-28,21.79,22.04,21.67,21.86,2122439.971426
2026-04-29,21.76,21.91,21.52,21.88,2903002.509559
2026-04-30,21.22,22.245,21.01,21.86,4871567.620558
2026-05-01,21.9,21.95,21.52,21.7,2606299.441882
