# LEADERSHIP TRADE BAR DATA
# trade_id     : 9834
# symbol       : RPRX
# entry_date   : 2026-02-24
# exit_date    : 2026-03-17
# entry_price  : 45.53
# exit_price   : 46.2
# profit_pct   : 0.0147156
# realized_pnl : 10.05
# shares       : 15
# exit_reason  : Stop Loss (Original Stop)
# bar_window   : 30d before entry → 30d after exit
# total_bars   : 57
#
date,open,high,low,close,volume
2026-01-26,40.41,40.63,40.18,40.47,5130423.0
2026-01-27,40.5,40.9,40.495,40.74,2756102.0
2026-01-28,40.54,40.795,40.16,40.41,3233110.0
2026-01-29,40.5,40.91,40.375,40.86,3071136.0
2026-01-30,41.27,41.72,40.86,41.68,3466646.0
2026-02-02,41.52,42.375,41.46,42.36,3864185.0
2026-02-03,42.32,43.07,42.28,42.97,3392763.0
2026-02-04,43.43,43.755,43.02,43.68,5153973.0
2026-02-05,43.57,44.355,43.43,44.1,6011659.0
2026-02-06,44.31,44.925,43.95,44.65,3535241.0
2026-02-09,44.64,44.9,43.98,44.05,3390776.0
2026-02-10,44.08,44.26,43.63,44.21,3148776.0
2026-02-11,42.94,45.24,42.5,44.25,5205211.0
2026-02-12,44.24,45.27,44.05,44.8,5714446.0
2026-02-13,44.8,45.905,44.71,45.19,5414035.0
2026-02-17,45.38,46.14,45.19,45.41,3346915.0
2026-02-18,45.15,45.39,44.91,45.34,2025063.0
2026-02-19,45.26,45.27,44.68,45.11,2593472.0
2026-02-20,44.88,45.29,44.675,45.12,3465214.0
2026-02-23,45.0,45.68,44.97,45.47,2179806.761167
2026-02-24,45.42,45.67,45.15,45.4,4536392.478164
2026-02-25,45.13,45.62,45.01,45.15,2822314.278237
2026-02-26,45.2,45.78,44.875,45.36,2573612.739905
2026-02-27,45.44,46.37,45.26,46.21,4176944.938249
2026-03-02,45.87,47.5,45.8,47.47,4414168.118489
2026-03-03,46.88,47.655,46.44,47.48,3719215.996203
2026-03-04,47.5,47.86,47.25,47.43,4344627.549165
2026-03-05,47.04,47.21,45.225,45.68,3384631.814642
2026-03-06,45.59,45.68,44.94,45.41,2701068.883168
2026-03-09,45.41,45.935,45.265,45.84,3899940.924696
2026-03-10,45.91,46.34,45.7,45.97,2395288.338169
2026-03-11,45.94,46.82,45.55,46.69,2709437.880756
2026-03-12,46.37,46.495,45.635,45.87,3834841.493832
2026-03-13,45.9,46.13,45.3106,45.65,2682196.723725
2026-03-16,45.83,46.435,45.77,46.1,2397173.672746
2026-03-17,46.2,46.39,46.0,46.11,4352562.521945
2026-03-18,46.13,46.14,45.465,45.79,3237823.197823
2026-03-19,45.78,45.965,45.21,45.53,2763989.21916
2026-03-20,45.77,46.1,44.73,45.36,8390796.97973
2026-03-23,45.935,46.06,45.04,45.61,3795330.222461
2026-03-24,45.24,45.895,45.15,45.57,2490495.226703
2026-03-25,45.8,47.08,45.79,47.03,3268146.994837
2026-03-26,46.95,47.54,46.815,46.94,3216546.679187
2026-03-27,46.995,47.33,46.06,46.35,2710159.06833
2026-03-30,46.47,46.74,46.1,46.37,2274974.207917
2026-03-31,46.81,47.98,46.68,47.97,3403139.202587
2026-04-01,47.99,48.75,47.98,48.49,3835316.41054
2026-04-02,48.25,49.06,48.21,48.57,2730419.559464
2026-04-06,47.98,48.39,47.275,47.32,2765977.109424
2026-04-07,47.0,47.12,46.535,46.87,2626620.164851
2026-04-08,47.22,48.085,46.99,47.9,2653603.782777
2026-04-09,47.76,48.6,47.435,48.3,2220743.150824
2026-04-10,48.3,48.36,47.73,47.9,2370085.755332
2026-04-13,47.87,48.72,47.81,48.43,2859449.114885
2026-04-14,48.4,49.01,48.35,48.82,3887235.608308
2026-04-15,48.89,48.98,48.075,48.7,1897618.969765
2026-04-16,48.5,48.97,48.23,48.48,2107812.70488
