direction,streak,horizon,n,mean_bps,win_rate,base_bps,excess_bps,t_vs_base
down,2,1,7518985,22.075463811356222,0.4922639159407819,7.285676182811712,14.789787628544508,88.97127804939645
down,3,1,3316463,17.548251412236276,0.493522466555484,7.285676182811712,10.262575229424563,40.94692134993566
down,4,1,1508413,14.449003799221964,0.49290413169337577,7.285676182811712,7.1633276164102515,19.022904536089378
down,5,1,699242,18.787702682547447,0.49791917533557767,7.285676182811712,11.502026499735736,19.23420911792959
down,6,1,324428,27.476254683810545,0.5100546192067269,7.285676182811712,20.190578500998832,22.364514037727584
down,7,1,147861,27.814687162516083,0.5004024049614164,7.285676182811712,20.52901097970437,13.734224594690165
down,8,1,68981,39.60946074012287,0.5075890462591148,7.285676182811712,32.32378455731115,14.458141544679497
down,9,1,31856,19.16780545093017,0.49623304871923657,7.285676182811712,11.882129268118456,3.607223925640261
down,10,1,15092,22.363346284253307,0.4903922608004241,7.285676182811712,15.077670101441596,2.900276627849673
down,11,1,7256,29.41373459255571,0.48980154355016536,7.285676182811712,22.128058409743996,2.5325395005175326
down,12,1,6955,17.328921995288624,0.4718907260963336,7.285676182811712,10.043245812476911,1.108116543650793
down,2,3,7514091,30.462955305692038,0.5061123161803603,16.759968482988437,13.702986822703599,51.65271944465598
down,3,3,3314833,27.928764106214754,0.5105192327939296,16.759968482988437,11.168795623226314,27.62587265712467
down,4,3,1507838,37.66946627379276,0.516785622858689,16.759968482988437,20.90949779080432,33.9297461111565
down,5,3,699033,45.60478434450332,0.5166022204960281,16.759968482988437,28.844815861514885,29.855566619401156
down,6,3,324317,60.87819704836825,0.526978234258457,16.759968482988437,44.1182285653798,29.59125687054142
down,7,3,147805,68.30159293355989,0.5277493995467001,16.759968482988437,51.54162445057146,21.789490903868227
down,8,3,68959,58.396262373954166,0.5192940732899259,16.759968482988437,41.63629389096573,12.03561832652346
down,9,3,31851,60.67957312740802,0.5224011804966877,16.759968482988437,43.91960464441957,8.258478435649641
down,10,3,15090,64.87577146665765,0.5057654075546719,16.759968482988437,48.115802983669205,5.197536416640681
down,11,3,7250,56.3716640628046,0.5067586206896552,16.759968482988437,39.611695579816164,2.8837249071923194
down,12,3,6949,60.804627059095566,0.5068355159015686,16.759968482988437,44.04465857610713,2.759842581202282
down,2,5,7510781,41.71243421666757,0.5138108806527577,25.50154176363828,16.21089245302929,48.55094574981345
down,3,5,3313649,43.76257755094877,0.5189722870466968,25.50154176363828,18.26103578731049,35.74471544450976
down,4,5,1507199,53.926633481404224,0.5221493644833893,25.50154176363828,28.425091717765948,36.5138298449342
down,5,5,698530,67.26708144726254,0.530647216297081,25.50154176363828,41.76553968362426,34.28395594105603
down,6,5,324181,66.44134866035512,0.531894219587206,25.50154176363828,40.93980689671684,22.084664863606633
down,7,5,147762,74.18964874163709,0.528552672540978,25.50154176363828,48.68810697799881,16.806205825100903
down,8,5,68918,81.67258540531246,0.5287152848312487,25.50154176363828,56.17104364167419,12.75754243928006
down,9,5,31826,79.50421790371087,0.5268648274995287,25.50154176363828,54.002676140072595,7.775574954889803
down,10,5,15079,91.49460122005853,0.517540950991445,25.50154176363828,65.99305945642026,5.638182937841394
down,11,5,7249,103.85176341514601,0.5217271347772107,25.50154176363828,78.35022165150772,4.673267023034466
down,12,5,6947,96.87958510082373,0.5136029940981719,25.50154176363828,71.37804333718546,3.450429191642173
down,2,10,7498989,60.206413941485536,0.5213316088342042,45.95939443044815,14.247019511037388,31.044262497290617
down,3,10,3308430,61.3660319180086,0.5236251031456007,45.95939443044815,15.406637487560452,21.985736395821462
down,4,10,1504626,65.81425910654696,0.5262849372535102,45.95939443044815,19.854864676098813,18.64766204428082
down,5,10,697483,65.71549368524113,0.5254751728715968,45.95939443044815,19.75609925479299,12.048786605378908
down,6,10,323688,66.86727149044467,0.5234361483898075,45.95939443044815,20.907877059996512,8.299663027884485
down,7,10,147529,76.08251607648023,0.5193351815575242,45.95939443044815,30.123121646032093,7.7511124675526935
down,8,10,68813,86.49727447425228,0.5205847732259893,45.95939443044815,40.53788004380414,6.811590055086204
down,9,10,31778,69.59846762056864,0.5166782050475172,45.95939443044815,23.639073190120495,2.5212974889215487
down,10,10,15062,70.03033939677707,0.5096932678263179,45.95939443044815,24.070944966328923,1.6507892389376642
down,11,10,7237,44.336827240252866,0.5013126986320299,45.95939443044815,-1.6225671901952832,-0.07785240780174761
down,12,10,6942,51.653143813374115,0.48761163929703255,45.95939443044815,5.693749382925965,0.20610657417733702
down,2,20,7475211,89.737900434203,0.5264988506678941,86.43639031917714,3.301510115025861,5.171610441052105
down,3,20,3299720,88.81347110450035,0.5280957172123696,86.43639031917714,2.3770807853232268,2.4457912451962898
down,4,20,1500858,97.0815082955878,0.5297949572844333,86.43639031917714,10.645117976410667,7.238996838519373
down,5,20,695900,98.00663347737505,0.5276634573933037,86.43639031917714,11.570243158197917,5.161886760649724
down,6,20,322955,87.4548805463316,0.5222894830549147,86.43639031917714,1.0184902271544691,0.2990283696004204
down,7,20,147208,92.02851901393507,0.5148293571001576,86.43639031917714,5.592128694757934,1.065372303562496
down,8,20,68657,105.73920669005646,0.518650683834132,86.43639031917714,19.302816370879334,2.4227613458448958
down,9,20,31708,84.1655616752966,0.5081367478238931,86.43639031917714,-2.2708286438805243,-0.18194901883265527
down,10,20,15041,65.06894645419558,0.4998337876470979,86.43639031917714,-21.36744386498155,-1.1105636244394845
